No.,Sentence,StemWords,MatchWords,Use
0,"CYBER GUIDE  1.0  Meeting  AGENCY  Agents Council for Technology  Agency Cyber Guide 1.0  Tools for Compliance and Protection in  today’s world of Data Breach  and Cybercrime July, 2017  2  |  ACT Agency Cyber Guide 1.0  V  Compliance and Protection Roadmap:  In the section immediately below, we are providing you with details on each of 12 Cybersecurity  Regulations, as well as resources to address those.","['cyber', 'guid', 'meet', 'agenc', 'agent', 'council', 'technolog', 'agenc', 'cyber', 'guid', 'tool', 'complianc', 'protect', 'today', 'world', 'data', 'breach', 'cybercrim', 'juli', 'act', 'agenc', 'cyber', 'guid', 'v', 'complianc', 'protect', 'roadmap', 'section', 'immedi', 'provid', 'detail', 'cybersecur', 'regul', 'well', 'resourc', 'address']","{'cybersecur', 'cyber', 'technolog'}",Y
1,The regulations detailed are:  1) Risk Assessment 2) Written Security Policy 3) Incident Response Plan 4) Staff Training and Monitoring 5) Penetration Testing/Vulnerability Assessment 6) Access control Protocol  7) Written Security Policy for 3rd-Party Service Providers 8) Encryption on Non-Public Information 9) Designation of CIO 10) Audit Trail 11) Implementing Multi-Factor Authentication 12) Procedure for Disposal of Non-Public Information  Independent insurance agents & brokers deal with sensitive client information every day.,"['regul', 'detail', 'risk', 'assess', 'written', 'secur', 'polici', 'incid', 'respons', 'plan', 'staff', 'train', 'monitor', 'penetr', 'assess', 'access', 'control', 'protocol', 'written', 'secur', 'polici', 'servic', 'provid', 'encrypt', 'inform', 'design', 'cio', 'audit', 'trail', 'implement', 'authent', 'procedur', 'dispos', 'inform', 'independ', 'insur', 'agent', 'broker', 'deal', 'sensit', 'client', 'inform', 'everi', 'day']","{'control', 'inform', 'implement', 'secur', 'access'}",Y
2,"For  many insurance transactions, consumers must disclose confidential personal information that  they would not normally or willingly disclose even to close personal friends.","['mani', 'insur', 'transact', 'consum', 'must', 'disclos', 'confidenti', 'person', 'inform', 'would', 'normal', 'willingli', 'disclos', 'even', 'close', 'person', 'friend']",{'inform'},Y
3,This puts the burden  on agents and brokers to properly collect and protect this information which means complying  with state and federal regulations as well as adhering to customer service best practice  standards.,"['put', 'burden', 'agent', 'broker', 'properli', 'collect', 'protect', 'inform', 'mean', 'compli', 'state', 'feder', 'regul', 'well', 'adher', 'custom', 'servic', 'best', 'practic', 'standard']","{'practic', 'inform', 'standard'}",Y
4,Handling sensitive information is now one of the most critical responsibilities  faced by the modern insurance agency.,"['handl', 'sensit', 'inform', 'one', 'critic', 'respons', 'face', 'modern', 'insur', 'agenc']",{'inform'},Y
5,"Admittedly, technology significantly contributes to the ease of data collection and reduces the  time required to write and service policies.","['admittedli', 'technolog', 'significantli', 'contribut', 'eas', 'data', 'collect', 'reduc', 'time', 'requir', 'write', 'servic', 'polici']","{'technolog', 'requir'}",Y
6,"But if not addressed properly, these improvements  also create risks and exposures that could mean potential catastrophe for agents.","['address', 'properli', 'improv', 'also', 'creat', 'risk', 'exposur', 'could', 'mean', 'potenti', 'catastroph', 'agent']",set(),N
7,"Federal and  state acts such as Gramm-Leach-Bliley Act (“GLBA”), the New York Department of Financial  Services, and other emerging regulatory requirements or recommendations to protect consumer  information but that are also in the agents’ best interest.","['feder', 'state', 'act', 'act', 'glba', 'new', 'york', 'depart', 'financi', 'servic', 'emerg', 'regulatori', 'requir', 'recommend', 'protect', 'consum', 'inform', 'also', 'agent', 'best', 'interest']","{'inform', 'requir'}",Y
8,These acts and regulations can be  tedious and onerous to address given the multifaceted responsibilities agents encounter daily.,"['act', 'regul', 'tediou', 'oner', 'address', 'given', 'multifacet', 'respons', 'agent', 'encount', 'daili']",set(),N
9,But agents need to make compliance a priority.,"['agent', 'need', 'make', 'complianc', 'prioriti']",set(),N
