No.,Sentence,StemWords,MatchWords,Use
0,"Malicious Control System Cyber  Security Attack Case Study– Maroochy Water Services,  Australia  Marshall D. Abrams, The MITRE Corporation Joe Weiss, Applied Control Solutions, LLC  August 2008  © 2008 The MITRE Corporation.","['malici', 'control', 'system', 'cyber', 'secur', 'attack', 'case', 'maroochi', 'water', 'servic', 'australia', 'marshal', 'abram', 'mitr', 'corpor', 'joe', 'weiss', 'appli', 'control', 'solut', 'llc', 'august', 'mitr', 'corpor']","{'secur', 'control', 'cyber'}",Y
1,All rights Reserved.,"['right', 'reserv']",set(),N
2,"NIST Industrial Control System (ICS) Cyber  Security Project  ¦ Objective: to improve the cyber security of federally owned/operated   ICS  ¦ ICS pervasive throughout all critical infrastructures ¦ Improve the security of public and private sector ICS  – Work with voluntary industry standards groups (e.g., The  Instrumentation, Systems, and Automation Society – ISA)  oAssist in ICS cyber security standards and guideline   development  oFoster ICS cyber security standards convergence  – Raise the level of ICS security through R&D and testing  ¦ Purpose of case studies is to focus in on factors otherwise   overlooked, not to ascribe any blame  © 2008 The MITRE Corporation.","['nist', 'industri', 'control', 'system', 'ic', 'cyber', 'secur', 'project', 'object', 'improv', 'cyber', 'secur', 'feder', 'ic', 'ic', 'pervas', 'throughout', 'critic', 'infrastructur', 'improv', 'secur', 'public', 'privat', 'sector', 'ic', 'work', 'voluntari', 'industri', 'standard', 'group', 'instrument', 'system', 'autom', 'societi', 'isa', 'oassist', 'ic', 'cyber', 'secur', 'standard', 'guidelin', 'develop', 'ofost', 'ic', 'cyber', 'secur', 'standard', 'converg', 'rais', 'level', 'ic', 'secur', 'r', 'test', 'purpos', 'case', 'studi', 'focu', 'factor', 'otherwis', 'overlook', 'ascrib', 'blame', 'mitr', 'corpor']","{'industri', 'work', 'control', 'group', 'standard', 'cyber', 'develop', 'secur'}",Y
3,All rights Reserved.,"['right', 'reserv']",set(),N
4,2  NIST Cyber Security Strategic Vision  ¦ Promote the development of key security standards and   guidelines to support the implementation of and compliance  with the Federal Information Security Management Act (FISMA)  ¦ Build a solid foundation of information security across one of  the largest information technology infrastructures in the world  based on comprehensive security standards and technical  guidance.,"['nist', 'cyber', 'secur', 'strateg', 'vision', 'promot', 'develop', 'key', 'secur', 'standard', 'guidelin', 'support', 'implement', 'complianc', 'feder', 'inform', 'secur', 'manag', 'act', 'fisma', 'build', 'solid', 'foundat', 'inform', 'secur', 'across', 'one', 'largest', 'inform', 'technolog', 'infrastructur', 'world', 'base', 'comprehens', 'secur', 'standard', 'technic', 'guidanc']","{'inform', 'technolog', 'standard', 'implement', 'manag', 'develop', 'cyber', 'secur'}",Y
5,"¦ Institutionalize a comprehensive Risk Management Framework   that promotes flexible, cost-effective information security  programs for federal agencies.","['institution', 'comprehens', 'risk', 'manag', 'framework', 'promot', 'flexibl', 'inform', 'secur', 'program', 'feder', 'agenc']","{'secur', 'manag', 'inform'}",Y
6,¦ Establish a fundamental level of ?security due diligence?,"['establish', 'fundament', 'level', 'secur', 'due', 'dilig']",{'secur'},Y
7,for   federal agencies and their contractors based on minimum  security requirements and security controls.,"['feder', 'agenc', 'contractor', 'base', 'minimum', 'secur', 'requir', 'secur', 'control']","{'secur', 'control', 'requir'}",Y
8,¦ NIST standards and guidelines are voluntarily used by the   private sector  © 2008 The MITRE Corporation.,"['nist', 'standard', 'guidelin', 'voluntarili', 'use', 'privat', 'sector', 'mitr', 'corpor']",{'standard'},Y
9,All rights Reserved.,"['right', 'reserv']",set(),N
