No.,Sentence,StemWords,MatchWords,Use
0,"Security Certi?cations   •  General Security: Basic | Intermediate | Advanced   •  Forensics/Anti-Hacking: Basic | Intermediate | Advanced    GENERAL SECURITY - Basic      •  BISA – Brainbench Information Security Administrator   This  Brainbench  certi?cation  tests  knowledge  of  networking  and  Internet  security,  including authorization, authentication, ?rewalls, encryption, disaster recovery and more.","['secur', 'certi', 'cation', 'gener', 'secur', 'basic', 'intermedi', 'advanc', 'basic', 'intermedi', 'advanc', 'gener', 'secur', 'basic', 'bisa', 'brainbench', 'inform', 'secur', 'administr', 'brainbench', 'certi', 'cation', 'test', 'knowledg', 'network', 'internet', 'secur', 'includ', 'author', 'authent', 'rewal', 'encrypt', 'disast', 'recoveri']","{'network', 'inform', 'internet', 'secur', 'includ'}",Y
1,"Source: Brainbench    •  BITSF – Brainbench Information Technology Security Fundamentals   This  Brainbench  certi?cation  tests  basic  knowledge  of  information  security  concepts,  skills and best practices.","['sourc', 'brainbench', 'bitsf', 'brainbench', 'inform', 'technolog', 'secur', 'fundament', 'brainbench', 'certi', 'cation', 'test', 'basic', 'knowledg', 'inform', 'secur', 'concept', 'skill', 'best', 'practic']","{'practic', 'secur', 'inform', 'technolog'}",Y
2,Topics covered include:   This entry- to mid-level security certi?cation focuses on two primary topics: ?rewalls and  intrusion detection.,"['topic', 'cover', 'includ', 'secur', 'certi', 'cation', 'focus', 'two', 'primari', 'topic', 'rewal', 'intrus', 'detect']","{'secur', 'includ'}",Y
3,"Related curriculum and exams cover network security fundamentals,   Page 1 of 13   o  Attack recognition, prevention and response   o  Content security   o  Database infrastructure protection   o  General concepts   o  Network infrastructure protection   o  Perimeter and Internet security   o  Security management systems and security technologies    Source: Brainbench    •  GIAC – Global Information Assurance Certi?cation Program   This program seeks to identify individuals who can demonstrate knowledge of and the  ability to manage and protect important information systems and networks.","['relat', 'curriculum', 'exam', 'cover', 'network', 'secur', 'fundament', 'page', 'attack', 'recognit', 'prevent', 'respons', 'content', 'secur', 'databas', 'infrastructur', 'protect', 'gener', 'concept', 'network', 'infrastructur', 'protect', 'perimet', 'internet', 'secur', 'secur', 'manag', 'system', 'secur', 'technolog', 'sourc', 'brainbench', 'giac', 'global', 'inform', 'assur', 'certi', 'cation', 'program', 'program', 'seek', 'identifi', 'individu', 'demonstr', 'knowledg', 'abil', 'manag', 'protect', 'import', 'inform', 'system', 'network']","{'network', 'inform', 'technolog', 'internet', 'manag', 'secur'}",Y
4,"The SANS  organization is well known for its timely, focused, and useful security information and  certi?cation  program.","['san', 'organ', 'well', 'known', 'time', 'focus', 'use', 'secur', 'inform', 'certi', 'cation', 'program']","{'secur', 'organ', 'inform'}",Y
5,"A  shining  star  on  this  landscape,  the  GIAC  program  aims  at  serious,  full-time  security  professionals  responsible  for  designing,  implementing  and  maintaining a state-of-the-art security infrastructure that may include incident handling  and emergency response team management.","['shine', 'star', 'landscap', 'giac', 'program', 'aim', 'seriou', 'secur', 'profession', 'respons', 'design', 'implement', 'maintain', 'secur', 'infrastructur', 'may', 'includ', 'incid', 'handl', 'emerg', 'respons', 'team', 'manag']","{'secur', 'implement', 'manag', 'includ'}",Y
6,Available entry-level certi?cations include  the following:   o  GIAC Information Security Fundamentals (GISF)   o  GIAC Security Essentials Certi?cation (GSEC)    Source: Global Information Assurance Certi?cation   •  SCNP – Security Certi?ed Network Professional   •  Security+   and network defense and countermeasures.,"['avail', 'certi', 'cation', 'includ', 'follow', 'giac', 'inform', 'secur', 'fundament', 'gisf', 'giac', 'secur', 'essenti', 'certi', 'cation', 'gsec', 'sourc', 'global', 'inform', 'assur', 'certi', 'cation', 'scnp', 'secur', 'certi', 'ed', 'network', 'profession', 'network', 'defens', 'countermeasur']","{'secur', 'inform', 'network', 'includ'}",Y
7,Individuals who attain this certi?cation will  be able to work as full-time IT security professionals with an operations focus.,"['individu', 'attain', 'certi', 'cation', 'abl', 'work', 'secur', 'profession', 'oper', 'focu']","{'secur', 'work'}",Y
8,"Source: Security Certi?ed Program    This security certi?cation focuses on important security fundamentals related to security  concepts and theory, as well as best operational practices.","['sourc', 'secur', 'certi', 'ed', 'program', 'secur', 'certi', 'cation', 'focus', 'import', 'secur', 'fundament', 'relat', 'secur', 'concept', 'theori', 'well', 'best', 'oper', 'practic']","{'practic', 'secur'}",Y
9,"In addition to functioning as a  standalone exam for CompTIA, Microsoft accepts the Security+ as an alternative to one  of  the  specialization  exams  for  the  MCSA  and  MCSE  Messaging  and  Security  specializations.","['addit', 'function', 'standalon', 'exam', 'comptia', 'microsoft', 'accept', 'altern', 'one', 'special', 'exam', 'mcsa', 'mcse', 'messag', 'secur', 'special']",{'secur'},Y
10,"Source: CompTIA Security+ Certi?cation Overview    •  SSCP – Systems Security Certi?ed Practitioner   The  entry-level  precursor  to  ISC2’s  CISSP,  the  SSCP  exam  covers  seven  of  the  10  domains  in  the  CISSP  Common  Body  of  Knowledge.","['sourc', 'comptia', 'certi', 'cation', 'overview', 'sscp', 'system', 'secur', 'certi', 'ed', 'practition', 'precursor', 'cissp', 'sscp', 'exam', 'cover', 'seven', 'domain', 'cissp', 'common', 'bodi', 'knowledg']",{'secur'},Y
11,"The  exam  focuses  more  on  operational  and  administrative  issues  relevant  to  information  security  and  less  on  information policy design, risk assessment details and other business analysis skills that  more germane to a senior IT security professional (and less so to a day-to-day security  administrator, which is where the SSCP is really focused).","['exam', 'focus', 'oper', 'administr', 'issu', 'relev', 'inform', 'secur', 'less', 'inform', 'polici', 'design', 'risk', 'assess', 'detail', 'busi', 'analysi', 'skill', 'german', 'senior', 'secur', 'profession', 'less', 'secur', 'administr', 'sscp', 'realli', 'focus']","{'secur', 'inform'}",Y
12,"Source: (ISC)2    •  TICSA – TruSecure ICSA Certi?ed Security Associate   TICSA demonstrates basic familiarity with vendor-neutral system- and network-security  principles,  practices  and  technologies.","['sourc', 'isc', 'ticsa', 'trusecur', 'icsa', 'certi', 'ed', 'secur', 'associ', 'ticsa', 'demonstr', 'basic', 'familiar', 'principl', 'practic', 'technolog']","{'practic', 'secur', 'technolog'}",Y
13,It  is  an  entry-level  security  certi?cation  for  network or system administrations and for those interested in climbing the ?rst rung in a  security certi?cation ladder suitable for full-time IT security work.,"['secur', 'certi', 'cation', 'network', 'system', 'administr', 'interest', 'climb', 'rst', 'rung', 'secur', 'certi', 'cation', 'ladder', 'suitabl', 'secur', 'work']","{'secur', 'work', 'network'}",Y
14,"Source: TruSecure ICSA Practitioner Certi?cation       GENERAL SECURITY - Intermediate   •  BIS – Brainbench Internet Security Certi?cation   The BIS seeks to identify individuals with a good working knowledge of Internet security  practices,  principles  and  technologies.","['sourc', 'trusecur', 'icsa', 'practition', 'certi', 'cation', 'gener', 'secur', 'intermedi', 'bi', 'brainbench', 'internet', 'secur', 'certi', 'cation', 'bi', 'seek', 'identifi', 'individu', 'good', 'work', 'knowledg', 'internet', 'secur', 'practic', 'principl', 'technolog']","{'work', 'technolog', 'internet', 'practic', 'secur'}",Y
15,It  is  aimed  at  full-time  network  or  system  administrators who must manage systems with Internet connections or access.,"['aim', 'network', 'system', 'administr', 'must', 'manag', 'system', 'internet', 'connect', 'access']","{'internet', 'manag', 'network', 'access'}",Y
16,"Source: Brainbench    •  BNS – Brainbench Network Security Certi?cation   The  BNS  seeks  to  identify  individuals  with  a  good  working  knowledge  of  network  security practices, principles and technologies.","['sourc', 'brainbench', 'bn', 'brainbench', 'network', 'secur', 'certi', 'cation', 'bn', 'seek', 'identifi', 'individu', 'good', 'work', 'knowledg', 'network', 'secur', 'practic', 'principl', 'technolog']","{'work', 'network', 'technolog', 'practic', 'secur'}",Y
17,"This cert is aimed at full-time network  administrators who must deal with external threats through boundary devices like routers,  ?rewalls or intrusion-detection systems, as well as more typical internal threats.","['cert', 'aim', 'network', 'administr', 'must', 'deal', 'extern', 'threat', 'boundari', 'devic', 'like', 'router', 'rewal', 'system', 'well', 'typic', 'intern', 'threat']","{'network', 'intern', 'devic'}",Y
18,"Source: Brainbench    Page 2 of 13   •  CIW Security Analyst   Individuals who take and pass the CIW-Security Professional (CIW-SP) exam, and hold  one of the following certi?cations qualify as a CIW Security Analyst (CIW-SA):    o  Microsoft Certi?ed Systems Administrator (MCSA)   o  Microsoft Certi?ed Systems Engineer (MCSE) 4   o  Microsoft Certi?ed Systems Engineer (MCSE) 2000   o  Certi?ed Novell Engineer (CNE) 4   o  Certi?ed Novell Engineer (CNE) 5   o  Cisco Certi?ed Network Associate (CCNA)   o  Cisco Certi?ed Network Professional (CCNP)   o  Cisco Certi?ed Internetwork Expert (CCIE)   o  Linux Professional Institute (LPI) Level 2    Individuals who hold this credential can carry out security policy, identify and handle  security  threats,  and  apply  countermeasures  using  ?rewalls,  intrusion  detection  and  related systems.","['sourc', 'brainbench', 'page', 'ciw', 'secur', 'analyst', 'individu', 'take', 'pass', 'profession', 'exam', 'hold', 'one', 'follow', 'certi', 'cation', 'qualifi', 'ciw', 'secur', 'analyst', 'microsoft', 'certi', 'ed', 'system', 'administr', 'mcsa', 'microsoft', 'certi', 'ed', 'system', 'engin', 'mcse', 'microsoft', 'certi', 'ed', 'system', 'engin', 'mcse', 'certi', 'ed', 'novel', 'engin', 'cne', 'certi', 'ed', 'novel', 'engin', 'cne', 'cisco', 'certi', 'ed', 'network', 'associ', 'ccna', 'cisco', 'certi', 'ed', 'network', 'profession', 'ccnp', 'cisco', 'certi', 'ed', 'internetwork', 'expert', 'ccie', 'linux', 'profession', 'institut', 'lpi', 'level', 'individu', 'hold', 'credenti', 'carri', 'secur', 'polici', 'identifi', 'handl', 'secur', 'threat', 'appli', 'countermeasur', 'use', 'rewal', 'intrus', 'detect', 'relat', 'system']","{'secur', 'network'}",Y
19,"The program’s Web focus also includes coverage of online payments,  transaction processing and related security matters.","['program', 'web', 'focu', 'also', 'includ', 'coverag', 'onlin', 'payment', 'transact', 'process', 'relat', 'secur', 'matter']","{'secur', 'includ'}",Y
20,Source: ProsoftTraining Inc.    •  CIW-SP – Certi?ed Internet Webmaster-Security Professional   The  CIW-SP  demonstrates  knowledge  of  Web-  and  e-commerce-related  security  principles  and  practices.,"['sourc', 'prosofttrain', 'certi', 'ed', 'internet', 'profession', 'demonstr', 'knowledg', 'secur', 'principl', 'practic']","{'internet', 'secur', 'practic'}",Y
