No.,Sentence,StemWords,MatchWords,Use
0,"CYBERSECURITY POLICY MAKING    AT A TURNING POINT         Analysing a new generation of    national cybersecurity strategies for   the Internet economy   Also includes contributions from non-governmental stakeholders              Cybersecurity Policy Making at a Turning Point:   Analysing a New Generation of National  Cybersecurity Strategies for the Internet   Economy   and         Non-governmental Perspectives on a New   Generation of National Cybersecurity Strategies:   Contributions from   BIAC, CSISAC and ITAC                                        ORGANISATION FOR ECONOMIC CO-OPERATION AND   DEVELOPMENT   The  OECD  is  a  unique  forum  where  governments  work  together  to  address  the  economic, social and environmental challenges of globalisation.","['cybersecur', 'polici', 'make', 'turn', 'point', 'analys', 'new', 'gener', 'nation', 'cybersecur', 'strategi', 'internet', 'economi', 'also', 'includ', 'contribut', 'stakehold', 'cybersecur', 'polici', 'make', 'turn', 'point', 'analys', 'new', 'gener', 'nation', 'cybersecur', 'strategi', 'internet', 'economi', 'perspect', 'new', 'gener', 'nation', 'cybersecur', 'strategi', 'contribut', 'biac', 'csisac', 'itac', 'organis', 'econom', 'develop', 'oecd', 'uniqu', 'forum', 'govern', 'work', 'togeth', 'address', 'econom', 'social', 'environment', 'challeng', 'globalis']","{'work', 'internet', 'develop', 'includ', 'cybersecur'}",Y
1,"The OECD is also  at the forefront of efforts to understand and to help governments respond to new  developments  and  concerns,  such  as  corporate  governance,  the  information  economy and the challenges of an ageing population.","['oecd', 'also', 'forefront', 'effort', 'understand', 'help', 'govern', 'respond', 'new', 'develop', 'concern', 'corpor', 'govern', 'inform', 'economi', 'challeng', 'age', 'popul']","{'develop', 'inform'}",Y
2,"The Organisation provides  a  setting  where  governments  can  compare  policy  experiences,  seek  answers  to  common problems, identify good practice and work to co-ordinate domestic and  international policies.","['organis', 'provid', 'set', 'govern', 'compar', 'polici', 'experi', 'seek', 'answer', 'common', 'problem', 'identifi', 'good', 'practic', 'work', 'domest', 'intern', 'polici']","{'practic', 'work', 'intern'}",Y
3,"The OECD member countries are: Australia, Austria, Belgium, Canada, Chile, the  Czech  Republic,  Denmark,  Estonia,  Finland,  France,  Germany,  Greece,  Hungary,  Iceland, Ireland, Israel, Italy, Japan, Korea, Luxembourg, Mexico, the Netherlands,  New  Zealand,  Norway,  Poland,  Portugal,  the  Slovak  Republic,  Slovenia,  Spain,  Sweden,  Switzerland,  Turkey,  the  United  Kingdom  and  the  United  States.","['oecd', 'member', 'countri', 'australia', 'austria', 'belgium', 'canada', 'chile', 'czech', 'republ', 'denmark', 'estonia', 'finland', 'franc', 'germani', 'greec', 'hungari', 'iceland', 'ireland', 'israel', 'itali', 'japan', 'korea', 'luxembourg', 'mexico', 'netherland', 'new', 'zealand', 'norway', 'poland', 'portug', 'slovak', 'republ', 'slovenia', 'spain', 'sweden', 'switzerland', 'turkey', 'unit', 'kingdom', 'unit', 'state']",set(),N
4,The  European Union takes part in the work of the OECD.,"['european', 'union', 'take', 'part', 'work', 'oecd']",{'work'},Y
5,Cover image : © germanskydive110 - Fotolia.com                           © OECD 2012   Applications to reproduce or translate all or part of this work should be made to  rights@oecd.org.,"['cover', 'imag', 'oecd', 'applic', 'reproduc', 'translat', 'part', 'work', 'made', 'right']",{'work'},Y
6,3   Foreword   A comparative analysis by the OECD of a new generation of national  cybersecurity  strategies  reveals  that  cybersecurity  policy  making  is  at  a  turning  point.,"['foreword', 'compar', 'analysi', 'oecd', 'new', 'gener', 'nation', 'cybersecur', 'strategi', 'reveal', 'cybersecur', 'polici', 'make', 'turn', 'point']",{'cybersecur'},Y
7,"In  many  countries,  it  has  become  a  national  policy  priority  supported by stronger leadership.","['mani', 'countri', 'becom', 'nation', 'polici', 'prioriti', 'support', 'stronger', 'leadership']",set(),N
8,All new strategies are becoming integrated  and  comprehensive.,"['new', 'strategi', 'becom', 'integr', 'comprehens']",set(),N
9,"They  approach  cybersecurity  in  a  holistic  manner,  encompassing  economic,  social,  educational,  law-enforcement,  technical, diplomatic, military and intelligence-related aspects.","['approach', 'cybersecur', 'holist', 'manner', 'encompass', 'econom', 'social', 'educ', 'technic', 'diplomat', 'militari', 'aspect']",{'cybersecur'},Y
10,“Sovereignty  considerations” have become increasingly important.,"['sovereignti', 'consider', 'becom', 'increasingli', 'import']",set(),N
11,"legal,   This  booklet  includes  the  OECD  report  as  well  as  the  full  text  of  the  contributions  to  this  work  by  non-governmental  stakeholders  from  the  Business and Industry Advisory Committee (BIAC), Civil Society Internet  Society  Advisory  Council  (CSISAC)  and  the  Internet  Technical  Advisory  Committee (ITAC).","['legal', 'booklet', 'includ', 'oecd', 'report', 'well', 'full', 'text', 'contribut', 'work', 'stakehold', 'busi', 'industri', 'advisori', 'committe', 'biac', 'civil', 'societi', 'internet', 'societi', 'advisori', 'council', 'csisac', 'internet', 'technic', 'advisori', 'committe', 'itac']","{'internet', 'industri', 'work', 'includ'}",Y
12,The OECD focuses on security in cyberspace as a driver for economic  prosperity and social development.,"['oecd', 'focus', 'secur', 'cyberspac', 'driver', 'econom', 'prosper', 'social', 'develop']","{'secur', 'develop'}",Y
13,The findings of this work will inform the  review of the 2002 Guidelines for the Security of Information Systems and  Networks  which  provide  a  set  of  high  level  principles  for  addressing  security in an open and interconnected digital environment through a risk- based approach.,"['find', 'work', 'inform', 'review', 'guidelin', 'secur', 'inform', 'system', 'network', 'provid', 'set', 'high', 'level', 'principl', 'address', 'secur', 'open', 'interconnect', 'digit', 'environ', 'base', 'approach']","{'secur', 'work', 'network', 'inform'}",Y
14,For more information: http://oe.cd/security.,"['inform', 'http']",{'inform'},Y
15,© OECD 2012         5   Table of contents       CYBERSECURITY POLICY MAKING AT A TURNING POINT: ANALYSING  A NEW GENERATION OF NATIONAL CYBERSECURITY STRATEGIES FOR  THE INTERNET ECONOMY .......................................................................................... 7  Main points .................................................................................................................... 9  Synthesis ...................................................................................................................... 11  Cybersecurity has become a national policy priority ............................................... 11  Some concepts are shared by all strategies............................................................... 13  Other concepts may reveal emerging trends ............................................................ 14  Actions plans are reinforced and broadened ............................................................ 16  Considerations expressed by non-governmental stakeholders ................................. 17  The review of the Security Guidelines ..................................................................... 19  Conclusion ................................................................................................................ 21  Detailed comparative analysis ...................................................................................... 24  Rationale and scope .................................................................................................. 24  Key concepts ............................................................................................................ 31  Management structures and action plans .................................................................. 36  Considerations highlighted by non-governmental stakeholders ............................... 47  Other considerations ................................................................................................. 51  Annex I. Intergovernmental organisations and initiatives ............................................ 53  Annex II.,"['oecd', 'tabl', 'content', 'cybersecur', 'polici', 'make', 'turn', 'point', 'analys', 'new', 'gener', 'nation', 'cybersecur', 'strategi', 'internet', 'economi', 'main', 'point', 'synthesi', 'cybersecur', 'becom', 'nation', 'polici', 'prioriti', 'concept', 'share', 'strategi', 'concept', 'may', 'reveal', 'emerg', 'trend', 'action', 'plan', 'reinforc', 'broaden', 'consider', 'express', 'stakehold', 'review', 'secur', 'guidelin', 'conclus', 'detail', 'compar', 'analysi', 'rational', 'scope', 'key', 'concept', 'manag', 'structur', 'action', 'plan', 'consider', 'highlight', 'stakehold', 'consider', 'annex', 'intergovernment', 'organis', 'initi', 'annex', 'ii']","{'internet', 'secur', 'manag', 'cybersecur'}",Y
16,Cybersecurity policy in the European Union ............................................... 59  Annex III.,"['cybersecur', 'polici', 'european', 'union', 'annex', 'iii']",{'cybersecur'},Y
17,Key policy documents per country ............................................................. 66  Annex IV.,"['key', 'polici', 'document', 'per', 'countri', 'annex', 'iv']",set(),N
