No.,Sentence,StemWords,MatchWords,Use
0,"A  Crazy  Cyber  World:  Construction  of  a  Composite  Index  for  Measuring  Child Online Protection (COP)   Ada S. Peter, PhD ada_peter@biari.brown.edu;  ada.peter@covenantuniversity.edu.ng;   Tolu Kayode-Adedeji kehinde.kayode-adedeji@covenantuniversity.edu.ng;  tolulopekayodeadedeji@gmail.com      Covenant University, Ota Ogun State Nigeria  Word count: 5070  Presented at the 66th International Communication Association Conference (ICA), Fukuoka Japan,  2016.","['crazi', 'cyber', 'world', 'construct', 'composit', 'index', 'measur', 'child', 'onlin', 'protect', 'cop', 'ada', 'peter', 'phd', 'tolu', 'tolulopekayodeadedeji', 'coven', 'univers', 'ota', 'ogun', 'state', 'nigeria', 'word', 'count', 'present', 'intern', 'commun', 'associ', 'confer', 'ica', 'fukuoka', 'japan']","{'measur', 'cyber', 'intern'}",Y
1,"Abstract   On  17th  November  2010,  the  international  telecommunications  union  (ITU)  launched  a  new  Child Online Protection (COP) phase.","['abstract', 'novemb', 'intern', 'telecommun', 'union', 'itu', 'launch', 'new', 'child', 'onlin', 'protect', 'cop', 'phase']",{'intern'},Y
2,"Years after setting up these guidelines, it is important to  develop a composite measure that provides an intuitive understanding of the gaps in child online  protection  system,  creates  cross  national  comparisons  for  advocacy  and  action.","['year', 'set', 'guidelin', 'import', 'develop', 'composit', 'measur', 'provid', 'intuit', 'understand', 'gap', 'child', 'onlin', 'protect', 'system', 'creat', 'cross', 'nation', 'comparison', 'advocaci', 'action']","{'measur', 'develop'}",Y
3,The  enquiry  proposes an objective assessment of where each country stands in child online protection across  four  critical  priority  areas.,"['enquiri', 'propos', 'object', 'assess', 'countri', 'stand', 'child', 'onlin', 'protect', 'across', 'four', 'critic', 'prioriti', 'area']",set(),N
4,"These  areas  include:  nationally  recognized  child  online  protection  strategy/ legislations; Collaboration, cooperation and partnerships; information sharing/reporting  mechanism; and capacity building/institutional support.","['area', 'includ', 'nation', 'recogn', 'child', 'onlin', 'protect', 'legisl', 'collabor', 'cooper', 'partnership', 'inform', 'mechan', 'capac', 'support']","{'inform', 'includ'}",Y
5,The four areas are reflected in the Child  Online Protection Index (COPI) structure which comprises four sub-indexes.,"['four', 'area', 'reflect', 'child', 'onlin', 'protect', 'index', 'copi', 'structur', 'compris', 'four']",set(),N
6,Each sub index is  in turn measured by five categorical indicators.,"['sub', 'index', 'turn', 'measur', 'five', 'categor', 'indic']",{'measur'},Y
7,The indicators are derived or adapted from key  institutions active in the information and communications technologies (ICT) sector and in child  online safety issues.,"['indic', 'deriv', 'adapt', 'key', 'institut', 'activ', 'inform', 'commun', 'technolog', 'ict', 'sector', 'child', 'onlin', 'safeti', 'issu']","{'inform', 'technolog'}",Y
8,"Introduction   The International Telecommunications Union (ITU), a lead facilitator for World Summit on the  Information Society (WSIS) action line C5 for assisting stakeholders in building confidence and  security  in  the  use  of  ICTs  at  national,  regional  and  international  levels,  and  a  team  of  contributing authors from institutions active in the information and communications technologies  (ICT)  sector  and  in  child  online  safety  issues  (including  Children’s  Charities’  Coalition  on  Internet  Safety  (CHIS),  Child Helpline  International  (CHI),  International Centre  for Missing  &  Exploited  Children  (ICMEC),  Interpol  and  United  Nations  Interregional  Crime  and  Justice  Research Institute (UNICRI), prepared action guidelines for key actors in child online protection  (ITU, 2009).","['introduct', 'intern', 'telecommun', 'union', 'itu', 'lead', 'facilit', 'world', 'summit', 'inform', 'societi', 'wsi', 'action', 'line', 'assist', 'stakehold', 'build', 'confid', 'secur', 'use', 'ict', 'nation', 'region', 'intern', 'level', 'team', 'contribut', 'author', 'institut', 'activ', 'inform', 'commun', 'technolog', 'ict', 'sector', 'child', 'onlin', 'safeti', 'issu', 'includ', 'children', 'chariti', 'coalit', 'internet', 'safeti', 'chi', 'child', 'helplin', 'intern', 'chi', 'intern', 'centr', 'miss', 'exploit', 'children', 'icmec', 'interpol', 'unit', 'nation', 'interregion', 'crime', 'justic', 'research', 'institut', 'unicri', 'prepar', 'action', 'guidelin', 'key', 'actor', 'child', 'onlin', 'protect', 'itu']","{'inform', 'technolog', 'internet', 'intern', 'secur', 'includ'}",Y
9,"By the 17th November 2010, the ITU launched a new Child Online Protection (COP) phase.","['novemb', 'itu', 'launch', 'new', 'child', 'onlin', 'protect', 'cop', 'phase']",set(),N
10,"The  new phase aimed to encourage the development of national COP centers, awareness campaigns  and community forums to create a safe environment for young users of the Internet.","['new', 'phase', 'aim', 'encourag', 'develop', 'nation', 'cop', 'center', 'awar', 'campaign', 'commun', 'forum', 'creat', 'safe', 'environ', 'young', 'user', 'internet']","{'internet', 'develop'}",Y
11,The launch  of COP initiative is not unlikely related to the addictive use of the internet even among children.,"['launch', 'cop', 'initi', 'unlik', 'relat', 'addict', 'use', 'internet', 'even', 'among', 'children']",{'internet'},Y
12,"As at 2009, over 60 percent of children and  young people at least use chat rooms daily and 75  percent of these children online are willing to share personal information about themselves and  their family in exchange for goods and services.","['percent', 'children', 'young', 'peopl', 'least', 'use', 'chat', 'room', 'daili', 'percent', 'children', 'onlin', 'will', 'share', 'person', 'inform', 'famili', 'exchang', 'good', 'servic']",{'inform'},Y
13,"Statistically, 20 percent of these children have  been identified to be targets of predators each year (ITU, 2009).","['statist', 'percent', 'children', 'identifi', 'target', 'predat', 'year', 'itu']",set(),N
14,"Over half a decade after setting up such guidelines, it is pertinent to measure the performance of  member states based on their subscribed obligations to protect and realize the rights of children  online  as  laid  out  in  the  UN  Convention  on  the  Rights  of  the  Child,  adopted  by  UN  General  Assembly resolution 44/25 of 20  November  1989  and  the  World  Summit  on  Information  Society (WSIS).","['half', 'decad', 'set', 'guidelin', 'pertin', 'measur', 'perform', 'member', 'state', 'base', 'subscrib', 'oblig', 'protect', 'realiz', 'right', 'children', 'onlin', 'laid', 'un', 'convent', 'right', 'child', 'adopt', 'un', 'gener', 'assembl', 'resolut', 'novemb', 'world', 'summit', 'inform', 'societi', 'wsi']","{'measur', 'inform'}",Y
