No.,Sentence,StemWords,MatchWords,Use
0,"               POLICY BRIEF ON CHILD ONLINE PROTECTION IN GHANA   Executive Summary   The internet is a vast and fast growing resource and, together with new technologies, it provides  new  opportunities  for  children  and  young  people  when  it  comes  to  education  and  skills  development, communication, social interaction and entertainment.","['polici', 'brief', 'child', 'onlin', 'protect', 'ghana', 'execut', 'summari', 'internet', 'vast', 'fast', 'grow', 'resourc', 'togeth', 'new', 'technolog', 'provid', 'new', 'opportun', 'children', 'young', 'peopl', 'come', 'educ', 'skill', 'develop', 'commun', 'social', 'interact', 'entertain']","{'internet', 'develop', 'technolog'}",Y
1,"However, while the internet  is  acknowledged  to  be  a  powerful  and  invaluable  resource,  it  is  important  that  children  and  young  people  are  aware  of,  and  protected  from,  the  risks  they  may encounter online  such as  exposure to sexual and violent content, cyberbullying, cybercrime, among others.","['howev', 'internet', 'acknowledg', 'power', 'invalu', 'resourc', 'import', 'children', 'young', 'peopl', 'awar', 'protect', 'risk', 'may', 'encount', 'onlin', 'exposur', 'sexual', 'violent', 'content', 'cyberbulli', 'cybercrim', 'among', 'other']",{'internet'},Y
2,In Ghana there is practically no legislation or policy which directly guarantees children’s safety  online.,"['ghana', 'practic', 'legisl', 'polici', 'directli', 'guarante', 'children', 'safeti', 'onlin']",{'practic'},Y
3,"Furthermore, the general public is largely unaware of the threats and risks the internet  possess  to  children  and  young  people.","['furthermor', 'gener', 'public', 'larg', 'unawar', 'threat', 'risk', 'internet', 'possess', 'children', 'young', 'peopl']",{'internet'},Y
4,This means that there is still a long way to go to keep  children  safe  online.,"['mean', 'still', 'long', 'way', 'go', 'keep', 'children', 'safe', 'onlin']",set(),N
5,Stakeholders  must  therefore  come  together  and  work  collaboratively  to  improve the safety of children and young people within cyberspace.,"['stakehold', 'must', 'therefor', 'come', 'togeth', 'work', 'collabor', 'improv', 'safeti', 'children', 'young', 'peopl', 'within', 'cyberspac']",{'work'},Y
6,This  policy  brief  offers  a  contextual  analysis  of  the  current  Child  Online  Protection  (COP)  environment  in  Ghana  and  gives  important  recommendations on how to ensure that children  can utilise the opportunities the Internet offers without the potential adverse effects.,"['polici', 'brief', 'offer', 'contextu', 'analysi', 'current', 'child', 'onlin', 'protect', 'cop', 'environ', 'ghana', 'give', 'import', 'recommend', 'ensur', 'children', 'utilis', 'opportun', 'internet', 'offer', 'without', 'potenti', 'advers', 'effect']",{'internet'},Y
7,"Introduction   The  development  of  the  internet  has  opened  up  unprecedented  opportunities  in  the areas of  communications,  commerce,  culture,  and  politics  and  in  the  exercise  of rights.","['introduct', 'develop', 'internet', 'open', 'unpreced', 'opportun', 'area', 'commun', 'commerc', 'cultur', 'polit', 'exercis', 'right']","{'internet', 'develop'}",Y
8,Access to the  internet  continues  to  increase  across  the  African  continent  with  enormous  possibilities  for  Africans of all ages both at home and in the Diasporas.,"['access', 'internet', 'continu', 'increas', 'across', 'african', 'contin', 'enorm', 'possibl', 'african', 'age', 'home', 'diaspora']","{'internet', 'access'}",Y
9,"For children in particular, the internet  offers opportunities to learn, communicate and have fun.","['children', 'particular', 'internet', 'offer', 'opportun', 'learn', 'commun', 'fun']",{'internet'},Y
10,"In spite of these benefits, the use of  the internet comes with its own threats and risks especially for vulnerable populations such as  children.","['spite', 'benefit', 'use', 'internet', 'come', 'threat', 'risk', 'especi', 'vulner', 'popul', 'children']",{'internet'},Y
11,"As everyone else, children engage online as recipients, participants or actors.","['everyon', 'els', 'children', 'engag', 'onlin', 'recipi', 'particip', 'actor']",set(),N
12,"Any of these roles  that  is  assumed  by  a  child  at  any  particular  point  in  his  or  her  online  experience,  exposes  him/her to a variety of appropriate and inappropriate content, which can range from commercial  information (unsolicited adverts, spam, etc.)","['role', 'assum', 'child', 'particular', 'point', 'onlin', 'experi', 'expos', 'varieti', 'appropri', 'inappropri', 'content', 'rang', 'commerci', 'inform', 'unsolicit', 'advert', 'spam', 'etc']",{'inform'},Y
13,"to more aggressive content (bullying, harassment,  hate speech, and other violent content).","['aggress', 'content', 'bulli', 'harass', 'hate', 'speech', 'violent', 'content']",set(),N
14,"As recipients, participants or actors, children are also  susceptible to sexually explicit content which may cause distorted and unhealthy values in young  people about their personalities and relationships with others.","['recipi', 'particip', 'actor', 'children', 'also', 'suscept', 'sexual', 'explicit', 'content', 'may', 'caus', 'distort', 'unhealthi', 'valu', 'young', 'peopl', 'person', 'relationship', 'other']",set(),N
15,"Potential value-laden content such  as prejudicial/stereotypical and misleading information which many young netizens may not be  discerning  enough  to  decipher,  and  other  unacceptable  activities such as  online grooming for  prostitution or terrorism, also endanger children in cyberspace.","['potenti', 'content', 'mislead', 'inform', 'mani', 'young', 'netizen', 'may', 'discern', 'enough', 'deciph', 'unaccept', 'activ', 'onlin', 'groom', 'prostitut', 'terror', 'also', 'endang', 'children', 'cyberspac']",{'inform'},Y
16,"Online activities that make young  people  feel  embarrassed,  upset,  depressed  or  afraid  can  damage  their  self-esteem  and  pose a  threat to their psychological wellbeing.","['onlin', 'activ', 'make', 'young', 'peopl', 'feel', 'embarrass', 'upset', 'depress', 'afraid', 'damag', 'pose', 'threat', 'psycholog', 'wellb']",set(),N
17,"Unfortunately, many children are unaware of these risks.","['unfortun', 'mani', 'children', 'unawar', 'risk']",set(),N
