No.,Sentence,StemWords,MatchWords,Use
0,                 Inquiry into Cyber Safety Issues  Affecting Children and Young People            Submission to the Joint Select Committee  on Cyber Safety             July 2010                     GPO Box 5218 SYDNEY NSW 2001 • Enquiries Line 1300363992 • www.privacy.gov.au   Office of the Privacy Commissioner   Key recommendations   The Office of the Privacy Commissioner (the Office) welcomes the opportunity to  provide comments to the Joint Select Committee on Cyber Safety about cyber safety  issues affecting children and young people.,"['inquiri', 'cyber', 'safeti', 'issu', 'affect', 'children', 'young', 'peopl', 'submiss', 'joint', 'select', 'committe', 'cyber', 'safeti', 'juli', 'gpo', 'box', 'sydney', 'nsw', 'enquiri', 'line', 'offic', 'privaci', 'commission', 'key', 'recommend', 'offic', 'privaci', 'commission', 'offic', 'welcom', 'opportun', 'provid', 'comment', 'joint', 'select', 'committe', 'cyber', 'safeti', 'cyber', 'safeti', 'issu', 'affect', 'children', 'young', 'peopl']",{'cyber'},Y
1,We believe privacy awareness is an important element of improving cyber safety for  children and young people.,"['believ', 'privaci', 'awar', 'import', 'element', 'improv', 'cyber', 'safeti', 'children', 'young', 'peopl']",{'cyber'},Y
2,"The proliferation of online activities and associated  privacy risks, coupled with the fact that young users are often less aware of the risks,  suggests that there is a particular need for educational activities aimed at raising  privacy awareness amongst children and young people.","['prolifer', 'onlin', 'activ', 'associ', 'privaci', 'risk', 'coupl', 'fact', 'young', 'user', 'often', 'less', 'awar', 'risk', 'suggest', 'particular', 'need', 'educ', 'activ', 'aim', 'rais', 'privaci', 'awar', 'amongst', 'children', 'young', 'peopl']",set(),N
3,The Office’s main suggestions for improving cyber safety for children and young  people are:    1.,"['offic', 'main', 'suggest', 'improv', 'cyber', 'safeti', 'children', 'young', 'peopl']",{'cyber'},Y
4,"Education is the key to empowering individuals to protect their privacy online   and, more broadly, to establishing good cyber safety behaviours.","['educ', 'key', 'empow', 'individu', 'protect', 'privaci', 'onlin', 'broadli', 'establish', 'good', 'cyber', 'safeti', 'behaviour']",{'cyber'},Y
5,This is  especially important for more vulnerable individuals such as children and young  people.,"['especi', 'import', 'vulner', 'individu', 'children', 'young', 'peopl']",set(),N
6,2.,[],set(),N
7,Our Office would generally be supportive and welcome involvement in future   educational activities.,"['offic', 'would', 'gener', 'support', 'welcom', 'involv', 'futur', 'educ', 'activ']",set(),N
8,3.,[],set(),N
9,Cyber safety is a national problem and requires a coordinated approach across   portfolios and jurisdictions.,"['cyber', 'safeti', 'nation', 'problem', 'requir', 'coordin', 'approach', 'across', 'portfolio', 'jurisdict']","{'cyber', 'requir'}",Y
