No.,Sentence,StemWords,MatchWords,Use
0,(((  (((  Guidelines for Children on  Child Online  Protection   (((  (((  www.itu.int/cop  This document may be updated from time to time.,"['guidelin', 'children', 'child', 'onlin', 'protect', 'document', 'may', 'updat', 'time', 'time']",set(),N
1,Third-party sources are quoted as appropriate.,"['sourc', 'quot', 'appropri']",set(),N
2,The International Telecommunication Union (ITU) is not responsible for the content of  external  sources including external websites referenced in this publication.,"['intern', 'telecommun', 'union', 'itu', 'respons', 'content', 'extern', 'sourc', 'includ', 'extern', 'websit', 'referenc', 'public']","{'includ', 'intern'}",Y
3,Neither ITU nor any person acting on its behalf  is responsible for the use that might be made of  the information contained in this publication.,"['neither', 'itu', 'person', 'act', 'behalf', 'respons', 'use', 'might', 'made', 'inform', 'contain', 'public']",{'inform'},Y
4,"Legal notice   Mention of  and references to specific countries, companies, products, initiatives or guidelines do not in any way imply that they are endorsed or  recommended by ITU, the authors, or any other organization that the authors are affiliated with, in preference to others of  a similar nature that  are not mentioned.","['legal', 'notic', 'mention', 'refer', 'specif', 'countri', 'compani', 'product', 'initi', 'guidelin', 'way', 'impli', 'endors', 'recommend', 'itu', 'author', 'organ', 'author', 'affili', 'prefer', 'other', 'similar', 'natur', 'mention']",{'organ'},Y
5,"Requests to reproduce extracts of  this publication may be submitted to: jur@itu.int © International Telecommunication Union (ITU), Second Edition, 2016  Disclaimer   These Guidelines have been prepared by the International Telecommunication Union (ITU) and a team of  contributing authors from leading institutions active  in the information and communications technologies (ICT) sector and in child online safety issues.","['request', 'reproduc', 'extract', 'public', 'may', 'submit', 'jur', 'intern', 'telecommun', 'union', 'itu', 'second', 'edit', 'disclaim', 'guidelin', 'prepar', 'intern', 'telecommun', 'union', 'itu', 'team', 'contribut', 'author', 'lead', 'institut', 'activ', 'inform', 'commun', 'technolog', 'ict', 'sector', 'child', 'onlin', 'safeti', 'issu']","{'inform', 'intern', 'technolog'}",Y
6,"These Guidelines would not have been possible without the  time, enthusiasm and dedication of  its contributing authors.","['guidelin', 'would', 'possibl', 'without', 'time', 'enthusiasm', 'dedic', 'contribut', 'author']",set(),N
7,"ITU is grateful to all of  the following authors, who have contributed their valuable time and insights: (listed in alphabetical order of organisation)  ACKNOWLEDGEMENTS   John Carr (Children’s Charities’ Coalition on Internet Safety)  •  •  Michael Moran (Interpol) •  Janice Richardson (Insafe) •  Cristina Bueti (ITU)  •  Dieter Carstensen, Cristiana de Paoli and Mari Laiho (Save the Children) •  Maria Jose? Cantarino de Fri?as (Telefonica)  The authors wish to thank Kristin Kvigne (Interpol) for her detailed review and comments.","['itu', 'grate', 'follow', 'author', 'contribut', 'valuabl', 'time', 'insight', 'list', 'alphabet', 'order', 'organis', 'acknowledg', 'john', 'carr', 'children', 'chariti', 'coalit', 'internet', 'safeti', 'michael', 'moran', 'interpol', 'janic', 'richardson', 'insaf', 'cristina', 'bueti', 'itu', 'dieter', 'carstensen', 'cristiana', 'de', 'paoli', 'mari', 'laiho', 'save', 'children', 'maria', 'cantarino', 'de', 'telefonica', 'author', 'wish', 'thank', 'kristin', 'kvign', 'interpol', 'detail', 'review', 'comment']",{'internet'},Y
8,ITU wishes to acknowledge Salma Abbasi from eWWG for her  valuable involvement in the Child Online Protection (COP) Initiative.,"['itu', 'wish', 'acknowledg', 'salma', 'abbasi', 'ewwg', 'valuabl', 'involv', 'child', 'onlin', 'protect', 'cop', 'initi']",set(),N
9,The second edition of  this publication has been updated by Neha Karkara.,"['second', 'edit', 'public', 'updat', 'neha', 'karkara']",set(),N
10,Additional information and materials relating to these Draft Guidelines can be found at: http://www.itu.int/cop/ and will be updated on a regular basis.,"['addit', 'inform', 'materi', 'relat', 'draft', 'guidelin', 'found', 'http', 'updat', 'regular', 'basi']",{'inform'},Y
11,"If  you have any comments, or if  you would like to provide any additional information, please contact cop@itu.int  Table of Contents  Foreword Getting started   1.","['comment', 'would', 'like', 'provid', 'addit', 'inform', 'pleas', 'contact', 'cop', 'tabl', 'content', 'foreword', 'get', 'start']",{'inform'},Y
12,Background  2.,['background'],set(),N
13,Children and young people’s use of technology  3.,"['children', 'young', 'peopl', 'use', 'technolog']",{'technolog'},Y
14,What you need to know to stay safe online           4.,"['need', 'know', 'stay', 'safe', 'onlin']",set(),N
15,Conclusions  Sources for further reading & inspiration  Appendix 1       “SMART rules” for children and young people  Guidelines for the age group 5-7 year old  Guidelines for the age group 8-12 year old  Guidelines for the age group 13 years and above   Parent Contract  Child’s Contract   1 5 11 29 33  47  49  55 73 75 76 76 77  Guidelines for Children and Young People  4  www.itu.int/copGuidelines for Children and Young PeopleForeword  It is my pleasure to share with you the 2016 update of the Child Online  Protection Guidelines.,"['conclus', 'sourc', 'read', 'inspir', 'appendix', 'smart', 'rule', 'children', 'young', 'peopl', 'guidelin', 'age', 'group', 'year', 'old', 'guidelin', 'age', 'group', 'year', 'old', 'guidelin', 'age', 'group', 'year', 'parent', 'contract', 'child', 'contract', 'guidelin', 'children', 'young', 'peopl', 'children', 'young', 'peopl', 'foreword', 'pleasur', 'share', 'updat', 'child', 'onlin', 'protect', 'guidelin']",{'group'},Y
16,"This version was updated at the request of  the  Member States within the framework of  the Regional Initiative on COP,  approved by the World Telecommunication Development Conference  (WTDC-2014).","['version', 'updat', 'request', 'member', 'state', 'within', 'framework', 'region', 'initi', 'cop', 'approv', 'world', 'telecommun', 'develop', 'confer']",{'develop'},Y
17,I would like to thank the various stakeholders who  contributed to the text.,"['would', 'like', 'thank', 'variou', 'stakehold', 'contribut', 'text']",set(),N
18,"In an era of  ‘always-on’ Internet, child online protection is a critical  issue which, with the borderless nature of the Internet, requires a global,  coordinated response.","['era', 'internet', 'child', 'onlin', 'protect', 'critic', 'issu', 'borderless', 'natur', 'internet', 'requir', 'global', 'coordin', 'respons']","{'internet', 'requir'}",Y
19,"By using computers and mobile devices to access the Internet, children  and young people can do a great deal to combat and guard against cyber  threats themselves, and I hope this guide will help them do so.","['use', 'comput', 'mobil', 'devic', 'access', 'internet', 'children', 'young', 'peopl', 'great', 'deal', 'combat', 'guard', 'cyber', 'threat', 'hope', 'guid', 'help']","{'internet', 'cyber', 'access', 'devic'}",Y
20,Mr Houlin Zhao  Secretary-General of  the International Telecommunication Union (ITU)  Guidelines for Children and Young Peoplewww.itu.int/copGuidelines for Children and Young People1  What are these Guide- lines about?,"['mr', 'houlin', 'zhao', 'intern', 'telecommun', 'union', 'itu', 'guidelin', 'children', 'young', 'peopl', 'children', 'young', 'peopl', 'line']",{'intern'},Y
21,This manual contains Guidelines  for children and young people in  all parts of  the world on how to  keep themselves and others safe  online.,"['manual', 'contain', 'guidelin', 'children', 'young', 'peopl', 'part', 'world', 'keep', 'other', 'safe', 'onlin']",set(),N
22,"However, a young internet  user of  seven years of  age is very  unlikely to have the same needs or  interests as a 12 year old just start- ing at High School or a 17 year  old on the brink of  adulthood.","['howev', 'young', 'internet', 'user', 'seven', 'year', 'age', 'unlik', 'need', 'interest', 'year', 'old', 'ing', 'high', 'school', 'year', 'old', 'brink', 'adulthood']",{'internet'},Y
23,"At  different points in the Guidelines,  the advice or recommendations  fits these different contexts.","['differ', 'point', 'guidelin', 'advic', 'recommend', 'fit', 'differ', 'context']",set(),N
24,How should these Guide- lines be used?,"['line', 'use']",set(),N
