No.,Sentence,StemWords,MatchWords,Use
0,"   Workshop Summary Report  Cyber Threats and International Cooperation    February 26, 2015  Washington, DC    Rapporteurs: Amelia M. Wolf, Research Associate, Center for Preventive Action (CPA); Aliza Litchman,  Intern, CPA     This  workshop  was  cosponsored  by  the  International  Institutions  and  Global  Governance  program  (IIGG)  and  the  Digital  and  Cyberspace  Policy  program  at the  Council  on Foreign Relations  (CFR), and  was  made possible by  the  generous support of the Robina Foundation.","['workshop', 'summari', 'report', 'cyber', 'threat', 'intern', 'cooper', 'februari', 'washington', 'dc', 'rapporteur', 'amelia', 'wolf', 'research', 'associ', 'center', 'prevent', 'action', 'cpa', 'aliza', 'litchman', 'intern', 'cpa', 'workshop', 'cosponsor', 'intern', 'institut', 'global', 'govern', 'program', 'iigg', 'digit', 'cyberspac', 'polici', 'program', 'council', 'foreign', 'relat', 'cfr', 'made', 'possibl', 'gener', 'support', 'robina', 'foundat']","{'cyber', 'intern'}",Y
1,"In the past year alone, the number of cyberattacks worldwide grew by 48 percent and the cost of each incident  increased 92 percent.","['past', 'year', 'alon', 'number', 'cyberattack', 'worldwid', 'grew', 'percent', 'cost', 'incid', 'increas', 'percent']",set(),N
2,"Hackers attacked Target in January 2014 and stole credit card information from more than  forty million customers, which they sold on the black market for $53.7 million.","['hacker', 'attack', 'target', 'januari', 'stole', 'credit', 'card', 'inform', 'forti', 'million', 'custom', 'sold', 'black', 'market', 'million']",{'inform'},Y
3,An attack on JPMorgan Chase went  unnoticed for two months—despite the company’s $250 million cybersecurity budget—affecting seventy-six  million households and seven million businesses.,"['attack', 'jpmorgan', 'chase', 'went', 'unnot', 'two', 'compani', 'million', 'cybersecur', 'million', 'household', 'seven', 'million', 'busi']",{'cybersecur'},Y
4,"And in fall 2014, both the White House and State Department  announced breaches, likely carried out by Russian-backed hackers.","['fall', 'white', 'hous', 'state', 'depart', 'announc', 'breach', 'like', 'carri', 'hacker']",set(),N
5,"The increase in the frequency, scale, and  sophistication of cyberattacks has raised pressing questions about how the United States can deter adversarial state  and nonstate actors; respond to cyberattacks of varying intent; cooperate internationally to establish norms for  appropriate activity in cyberspace; and facilitate private-public partnerships to enhance deterrence, defense, and  attribution capabilities.","['increas', 'frequenc', 'scale', 'sophist', 'cyberattack', 'rais', 'press', 'question', 'unit', 'state', 'deter', 'adversari', 'state', 'nonstat', 'actor', 'respond', 'cyberattack', 'vari', 'intent', 'cooper', 'intern', 'establish', 'norm', 'appropri', 'activ', 'cyberspac', 'facilit', 'partnership', 'enhanc', 'deterr', 'defens', 'attribut', 'capabl']",{'intern'},Y
6,"In light of current challenges, CFR’s International Institutions and Global Governance  program and Digital and Cyberspace Policy program cosponsored the workshop “Cyber Threats and International  Cooperation.” The meeting took place on February 26, 2015, at CFR’s office in Washington, DC, bringing  together cybersecurity experts from the government, academic, nonprofit, and private sectors.","['light', 'current', 'challeng', 'cfr', 'intern', 'institut', 'global', 'govern', 'program', 'digit', 'cyberspac', 'polici', 'program', 'cosponsor', 'workshop', 'cyber', 'threat', 'intern', 'meet', 'took', 'place', 'februari', 'cfr', 'offic', 'washington', 'dc', 'bring', 'togeth', 'cybersecur', 'expert', 'govern', 'academ', 'nonprofit', 'privat', 'sector']","{'cyber', 'intern', 'cybersecur'}",Y
7,The discussion was  conducted on a not-for-attribution basis.,"['discuss', 'conduct', 'basi']",set(),N
8,SESSION ONE   The State of Cyber Threats   Cybercrime has changed the nature of conflict by blurring the line between state and nonstate actors.,"['session', 'one', 'state', 'cyber', 'threat', 'cybercrim', 'chang', 'natur', 'conflict', 'blur', 'line', 'state', 'nonstat', 'actor']",{'cyber'},Y
9,"Conventional  conflict is fought on land, in the air, or by sea and generally involves uniformed armies and physical weapons.","['convent', 'conflict', 'fought', 'land', 'air', 'sea', 'gener', 'involv', 'uniform', 'armi', 'physic', 'weapon']",set(),N
10,But   1      the introduction of a new domain—cyberspace—has expanded the battlefield beyond geographical boundaries and  significantly increased the number of players.,"['introduct', 'new', 'expand', 'battlefield', 'beyond', 'geograph', 'boundari', 'significantli', 'increas', 'number', 'player']",set(),N
11,Participants discussed the reasons for and implications of this shift.,"['particip', 'discuss', 'reason', 'implic', 'shift']",set(),N
12,"A low cost of entry has allowed nonstate actors—including terrorist and criminal organizations, intellectual   property thieves, and even lone hackers—to conduct damaging cyberattacks that target technologically advanced  countries.","['low', 'cost', 'entri', 'allow', 'nonstat', 'terrorist', 'crimin', 'organ', 'intellectu', 'properti', 'thiev', 'even', 'lone', 'conduct', 'damag', 'cyberattack', 'target', 'technolog', 'advanc', 'countri']","{'organ', 'technolog'}",Y
13,"Though there are higher costs and greater capability requirements for large-scale attacks, such as with  Stuxnet, any actor that wants to conduct a limited attack does not need to develop its own offensive cyber  capability, but can simply buy malware on the black market.","['though', 'higher', 'cost', 'greater', 'capabl', 'requir', 'attack', 'stuxnet', 'actor', 'want', 'conduct', 'limit', 'attack', 'need', 'develop', 'offens', 'cyber', 'capabl', 'simpli', 'buy', 'malwar', 'black', 'market']","{'develop', 'cyber', 'requir'}",Y
14,"The difficulty in attributing attacks, given the use of proxies and multiple servers, and the lagging norms on what   constitutes appropriate state behavior in cyberspace allow malicious activity to go relatively unpunished.","['difficulti', 'attribut', 'attack', 'given', 'use', 'proxi', 'multipl', 'server', 'lag', 'norm', 'constitut', 'appropri', 'state', 'behavior', 'cyberspac', 'allow', 'malici', 'activ', 'go', 'rel', 'unpunish']",set(),N
