No.,Sentence,StemWords,MatchWords,Use
0,"T h e Lo n d o n  S c h o o l  o f Ec o n o m ic s    a n d  P o l it ic a l S c ie n c e  From Friends to Strangers:  A Theory of Interstate Security Cooperation   Applied to German-American Relations,   1945  -   1995  Felix Sebastian Berenskotter  A thesis submitted to the Department of International Relations of the   London School of Economics and Political Science   for the degree of Doctor of Philosophy  October 2008  UMI  Number:  U615938  All  rights  reserved  INFORMATION TO ALL  USERS   The  quality of this  reproduction  is dependent upon the  quality of the copy submitted.","['h', 'e', 'lo', 'n', 'n', 'c', 'h', 'l', 'f', 'ec', 'n', 'ic', 'n', 'p', 'l', 'ic', 'l', 'c', 'ie', 'n', 'c', 'e', 'friend', 'stranger', 'theori', 'interst', 'secur', 'cooper', 'appli', 'relat', 'felix', 'sebastian', 'berenskott', 'thesi', 'submit', 'depart', 'intern', 'relat', 'london', 'school', 'econom', 'polit', 'scienc', 'degre', 'doctor', 'philosophi', 'octob', 'umi', 'number', 'right', 'reserv', 'inform', 'user', 'qualiti', 'reproduct', 'depend', 'upon', 'qualiti', 'copi', 'submit']","{'secur', 'inform', 'intern'}",Y
1,"In the  unlikely event that the author did  not send  a complete  manuscript   and there  are  missing  pages,  these will  be  noted.","['unlik', 'event', 'author', 'send', 'complet', 'manuscript', 'miss', 'page', 'note']",set(),N
2,"Also,  if material  had  to  be  removed,  a note will  indicate the deletion.","['also', 'materi', 'remov', 'note', 'indic', 'delet']",set(),N
3,Dissertation Publishing  UMI  U615938  Published  by  ProQuest LLC  2014.,"['dissert', 'publish', 'umi', 'publish', 'proquest', 'llc']",set(),N
4,Copyright in the  Dissertation  held  by the Author.,"['copyright', 'dissert', 'held', 'author']",set(),N
5,Microform  Edition © ProQuest LLC.,"['microform', 'edit', 'proquest', 'llc']",set(),N
6,All  rights  reserved.,"['right', 'reserv']",set(),N
7,"This work is  protected  against   unauthorized  copying  under Title  17,  United  States  Code.","['work', 'protect', 'unauthor', 'copi', 'titl', 'unit', 'state', 'code']",{'work'},Y
8,ProQuest LLC   789  East Eisenhower Parkway   P.O.,"['proquest', 'llc', 'east', 'eisenhow', 'parkway']",set(),N
9,"Box  1346   Ann Arbor,  Ml  48106-1346  ¦®Bse5 °\bO%  F  Obrary  -   -  Declaration  I  certify that the thesis  I  have  presented  for examination  for the  PhD degree of  the  London  School  o f Economics and  Political  Science  is  solely my own  work  other than  where  1  have clearly  indicated that  it  is the work o f others (in  which  case  the  extent  of any  work  carried  out jointly  by  me  and  any  other  person  is  clearly  identified  in  it).","['box', 'ann', 'arbor', 'ml', 'f', 'obrari', 'declar', 'certifi', 'thesi', 'present', 'examin', 'phd', 'degre', 'london', 'school', 'f', 'econom', 'polit', 'scienc', 'sole', 'work', 'clearli', 'indic', 'work', 'f', 'other', 'case', 'extent', 'work', 'carri', 'jointli', 'person', 'clearli', 'identifi']",{'work'},Y
