No.,Sentence,StemWords,MatchWords,Use
0,"April 4, 2017   Cybersecurity in the Health Care  Sector: Strengthening Public-Private  Partnerships   Subcommittee on Oversight and Investigations, Committee on Energy and  Commerce, United States House of Representatives, One Hundred  Fifteenth Congress, First Session    HEARING CONTENTS:  Member Statements   Greg Walden  Chairman, Committee on Energy and Commerce  [View pdf]   Tim Murphy  Chairman, Subcommittee on Oversight and Investigations  [View pdf]   Witnesses   Denise Anderson  President, National Health Information Sharing and Analysis Center  [View pdf]   Michael McNeil  Global Product Security & Services Officer, Philips  [View pdf]   Terry Rice  Vice President, IT Risk Management & Chief Information Security Officer  Merck & Company, Inc.  [View pdf]   * Please Note: External links included in this compilation were functional at the time of its creation but are not maintained thereafter.","['april', 'cybersecur', 'health', 'care', 'sector', 'strengthen', 'partnership', 'subcommitte', 'oversight', 'investig', 'committe', 'energi', 'commerc', 'unit', 'state', 'hous', 'repres', 'one', 'hundr', 'fifteenth', 'congress', 'first', 'session', 'hear', 'content', 'member', 'statement', 'greg', 'walden', 'chairman', 'committe', 'energi', 'commerc', 'view', 'pdf', 'tim', 'murphi', 'chairman', 'subcommitte', 'oversight', 'investig', 'view', 'pdf', 'wit', 'denis', 'anderson', 'presid', 'nation', 'health', 'inform', 'share', 'analysi', 'center', 'view', 'pdf', 'michael', 'mcneil', 'global', 'product', 'secur', 'servic', 'offic', 'philip', 'view', 'pdf', 'terri', 'rice', 'vice', 'presid', 'risk', 'manag', 'chief', 'inform', 'secur', 'offic', 'merck', 'compani', 'view', 'pdf', 'pleas', 'note', 'extern', 'link', 'includ', 'compil', 'function', 'time', 'creation', 'maintain', 'thereaft']","{'inform', 'manag', 'secur', 'includ', 'cybersecur'}",Y
1,"This hearing compilation was prepared by the Homeland Security Digital Library,   Naval Postgraduate School, Center for Homeland Defense and Security.","['hear', 'compil', 'prepar', 'homeland', 'secur', 'digit', 'librari', 'naval', 'postgradu', 'school', 'center', 'homeland', 'defens', 'secur']",{'secur'},Y
2,Available Webcast(s)*:   [View Webcast]   Compiled From*:   https://energycommerce.house.gov/hearings-and-votes/hearings/cybersecurity- heath-care-sector-strengthening-public-private   * Please Note: External links included in this compilation were functional at the time of its creation but are not maintained thereafter.,"['avail', 'webcast', 'view', 'webcast', 'compil', 'http', 'pleas', 'note', 'extern', 'link', 'includ', 'compil', 'function', 'time', 'creation', 'maintain', 'thereaft']",{'includ'},Y
3,"This hearing compilation was prepared by the Homeland Security Digital Library,   Naval Postgraduate School, Center for Homeland Defense and Security.","['hear', 'compil', 'prepar', 'homeland', 'secur', 'digit', 'librari', 'naval', 'postgradu', 'school', 'center', 'homeland', 'defens', 'secur']",{'secur'},Y
4,"Opening Statement of Chairman Greg Walden  Subcommittee on Oversight and Investigations    Hearing on “Cybersecurity in the Health Care Sector: Strengthening   Public-Private Partnerships”   April 4, 2017   	     (As prepared for delivery)   	     We are well aware of the threats posed by our increasingly connected  society, but nowhere do these risks hit closer to home than on the very  technology we rely on for our own health care.","['open', 'statement', 'chairman', 'greg', 'walden', 'subcommitte', 'oversight', 'investig', 'hear', 'cybersecur', 'health', 'care', 'sector', 'strengthen', 'partnership', 'april', 'prepar', 'deliveri', 'well', 'awar', 'threat', 'pose', 'increasingli', 'connect', 'societi', 'nowher', 'risk', 'hit', 'closer', 'home', 'technolog', 'reli', 'health', 'care']","{'technolog', 'cybersecur'}",Y
5,"The threats range from  ransomware, breaches of patient data at heath care organizations, to the  vulnerabilities in pacemakers and other medical devices.","['threat', 'rang', 'ransomwar', 'breach', 'patient', 'data', 'heath', 'care', 'organ', 'vulner', 'pacemak', 'medic', 'devic']","{'organ', 'devic'}",Y
6,"Taken in  isolation, these and other threats pose serious challenges to health care  organizations.","['taken', 'isol', 'threat', 'pose', 'seriou', 'challeng', 'health', 'care', 'organ']",{'organ'},Y
7,"Collectively, they demonstrate the breadth, complexity,  and unavoidable nature of cyber threats in modern society – both now  and for the foreseeable future.","['collect', 'demonstr', 'breadth', 'complex', 'unavoid', 'natur', 'cyber', 'threat', 'modern', 'societi', 'forese', 'futur']",{'cyber'},Y
8,"As technology becomes increasingly integrated with all levels of our  health care, cyber threats pose a challenge to the entire sector.","['technolog', 'becom', 'increasingli', 'integr', 'level', 'health', 'care', 'cyber', 'threat', 'pose', 'challeng', 'entir', 'sector']","{'cyber', 'technolog'}",Y
9,"Everyone  - from the smallest rural hospitals, to large providers and device  manufacturers - faces some level of exposure and risk.","['everyon', 'smallest', 'rural', 'hospit', 'larg', 'provid', 'devic', 'manufactur', 'face', 'level', 'exposur', 'risk']",{'devic'},Y
10,"Breaches, exploits, and vulnerabilities are inevitable realities of modern  society, even for the most well-resourced and sophisticated  organizations.","['breach', 'exploit', 'vulner', 'inevit', 'realiti', 'modern', 'societi', 'even', 'sophist', 'organ']",{'organ'},Y
