No.,Sentence,StemWords,MatchWords,Use
0,"   Financial Sector’s Cybersecurity:   A Regulatory Digest*           October 2017   This Digest is intended to be a “live”, periodically updated compilation of recent cybersecurity  laws, regulations, guidelines and other significant documents on cybersecurity for the financial  sector, therefore is organized in reverse chronological order with the most recent document first.","['financi', 'sector', 'cybersecur', 'regulatori', 'octob', 'digest', 'intend', 'live', 'period', 'updat', 'compil', 'recent', 'cybersecur', 'law', 'regul', 'guidelin', 'signific', 'document', 'cybersecur', 'financi', 'sector', 'therefor', 'organ', 'revers', 'chronolog', 'order', 'recent', 'document', 'first']","{'organ', 'cybersecur'}",Y
1,The Digest is not meant to be comprehensive of everything published by all jurisdictions and  international bodies.,"['digest', 'meant', 'comprehens', 'everyth', 'publish', 'jurisdict', 'intern', 'bodi']",{'intern'},Y
2,The explanatory summaries are composed of text extracted from the  documents and includes links to the original documents or websites that contained them at time  of addition to the Digest.,"['explanatori', 'summari', 'compos', 'text', 'extract', 'document', 'includ', 'link', 'origin', 'document', 'websit', 'contain', 'time', 'addit', 'digest']",{'includ'},Y
3,"It has been compiled and it is being maintained by Aquiles A. Almansi  (Lead Financial Sector Specialist, GFM03), Yejin Carol Lee (Senior Financial Sector Specialist,  GFM01a), and Johanna Lincoln (FinSAC Consultant).","['compil', 'maintain', 'aquil', 'almansi', 'lead', 'financi', 'sector', 'specialist', 'yejin', 'carol', 'lee', 'senior', 'financi', 'sector', 'specialist', 'johanna', 'lincoln', 'finsac', 'consult']",set(),N
4,Financial Sector’s Cybersecurity: A Regulatory Digest           CONTENTS   TABLES .............................................................................................................................. 4   TABLE 1.,"['financi', 'sector', 'cybersecur', 'regulatori', 'digest', 'content', 'tabl', 'tabl']",{'cybersecur'},Y
5,List of Included Documents Applicable to Single Jurisdictions ............................ 4   TABLE 2.,"['list', 'includ', 'document', 'applic', 'singl', 'jurisdict', 'tabl']",{'includ'},Y
6,List of Included Documents Applicable to the European Union ........................... 6   TABLE 3.,"['list', 'includ', 'document', 'applic', 'european', 'union', 'tabl']",{'includ'},Y
7,List of Included Documents Applicable to Multi-Jurisdictions ............................. 6     DIGEST DOCUMENTS (in reverse chronological order) ............................................ 7   56.,"['list', 'includ', 'document', 'applic', 'digest', 'document', 'revers', 'chronolog', 'order']",{'includ'},Y
8,ECB (SSM) Cyber Incident Reporting Framework (2017) .................................................. 7   55.,"['ecb', 'ssm', 'cyber', 'incid', 'report', 'framework']",{'cyber'},Y
9,AU - Banking Exec Accountability & Related Measures Bill (Sep 2017) ...................... 7   54.,"['au', 'bank', 'exec', 'account', 'relat', 'measur', 'bill', 'sep']",{'measur'},Y
10,US NIST Cybersecurity Workforce Framework (Aug 2017) .............................................. 7   53.,"['us', 'nist', 'cybersecur', 'workforc', 'framework', 'aug']",{'cybersecur'},Y
11,US SEC Cybersecurity Examination Initiative Risk Alert (Aug 2017) ............................ 7   52.,"['us', 'sec', 'cybersecur', 'examin', 'initi', 'risk', 'alert', 'aug']",{'cybersecur'},Y
12,FSI  Insights: Regulatory approaches to  enhance  banks’ cyber-security frameworks   (Aug 2017) .......................................................................................................................................... 8   51.,"['fsi', 'insight', 'regulatori', 'approach', 'enhanc', 'bank', 'framework', 'aug']",set(),N
13,"IMF WP- Cyber Risk, Market Failures, and Financial Stability (Aug 2017) .................. 8   50.","['imf', 'cyber', 'risk', 'market', 'failur', 'financi', 'stabil', 'aug']",{'cyber'},Y
14,SWIFT Customer Security Program (Jul/ May /April 2017) ............................................... 9   49.,"['swift', 'custom', 'secur', 'program', 'may']",{'secur'},Y
15,UK FCA Consultation - Individual Accountability Regime (Jul 2017) ......................... 10   48.,"['uk', 'fca', 'consult', 'individu', 'account', 'regim', 'jul']",set(),N
16,Singapore Association of Banks’ Guidelines on control objectives and procedures for   outsourced service providers (Jun 2017) ................................................................................. 10   47.,"['singapor', 'associ', 'bank', 'guidelin', 'control', 'object', 'procedur', 'outsourc', 'servic', 'provid', 'jun']",{'control'},Y
17,People Republic of China Cyber-Security Law (Jun 2017)............................................... 10   46.,"['peopl', 'republ', 'china', 'law', 'jun']",set(),N
18,G7 - fundamental elements for effective cybersecurity assessment (May 2017) ........ 11   45.,"['fundament', 'element', 'effect', 'cybersecur', 'assess', 'may']",{'cybersecur'},Y
19,EU Report on influence of tech on future of financial sector (May 2017) .................... 11   44.,"['eu', 'report', 'influenc', 'tech', 'futur', 'financi', 'sector', 'may']",set(),N
20,FFIEC Cybersecurity Assessment Tool (May 2017) ........................................................... 12   43.,"['ffiec', 'cybersecur', 'assess', 'tool', 'may']",{'cybersecur'},Y
21,ESAs Report on main risks for the EU Financial System (Apr 2017) ........................... 13   42.,"['esa', 'report', 'main', 'risk', 'eu', 'financi', 'system', 'apr']",set(),N
22,AICPA SOC for Cybersecurity (Apr 2017) ........................................................................... 13   41.,"['aicpa', 'soc', 'cybersecur', 'apr']",{'cybersecur'},Y
23,NY cyber-security requirements for financial services companies (Mar 2017) .......... 14   40.,"['ny', 'requir', 'financi', 'servic', 'compani', 'mar']",{'requir'},Y
24,EU Commission Consultation on the impact of FinTech (Mar 2017) ............................ 14   39.,"['eu', 'commiss', 'consult', 'impact', 'fintech', 'mar']",set(),N
25,BaFin Consultation on bank regulatory reqs for IT systems (Mar 2017) ...................... 15   38.,"['bafin', 'consult', 'bank', 'regulatori', 'req', 'system', 'mar']",set(),N
26,UK Open Banking Initiative (Mar 2017) ................................................................................ 15   37.,"['uk', 'open', 'bank', 'initi', 'mar']",set(),N
27,CPMI report - DLT in payment clearing/settlement (Feb 2017) ...................................... 16   36.,"['cpmi', 'report', 'dlt', 'payment', 'feb']",set(),N
28,US NIST draft updated Cybersecurity Framework (Jan 2017) ........................................ 16   35.,"['us', 'nist', 'draft', 'updat', 'cybersecur', 'framework', 'jan']",{'cybersecur'},Y
29,UK Gov Cyber-Security Regulation and Incentives Review (Dec 2016) ..................... 17   34.,"['uk', 'gov', 'regul', 'incent', 'review', 'dec']",set(),N
30,HK SFC Circular on augmenting accountability of senior mgmt (Dec 2016) ............. 17   33.,"['hk', 'sfc', 'circular', 'augment', 'account', 'senior', 'mgmt', 'dec']",set(),N
31,HKMA circular on Cybersecurity Fortification Initiative (Dec 2016) ........................... 17   32.,"['hkma', 'circular', 'cybersecur', 'fortif', 'initi', 'dec']",{'cybersecur'},Y
32,G7 Fundamental Elements of Cybersecurity for Financial Sector (Oct 2016) ............ 19   2   Financial Sector’s Cybersecurity: A Regulatory Digest           31.,"['fundament', 'element', 'cybersecur', 'financi', 'sector', 'oct', 'financi', 'sector', 'cybersecur', 'regulatori', 'digest']",{'cybersecur'},Y
33,US FinCEN Advisory on FIs obligations on cyber-related events (Oct 2016) ............ 20   30.,"['us', 'fincen', 'advisori', 'fi', 'oblig', 'event', 'oct']",set(),N
34,US FBAs ANPR for enhanced cybersecurity standards (Oct 2016) ............................... 20   29.,"['us', 'fba', 'anpr', 'enhanc', 'cybersecur', 'standard', 'oct']","{'cybersecur', 'standard'}",Y
35,HK SFC Review of cybersec.,"['hk', 'sfc', 'review', 'cybersec']",set(),N
36,of online & mobile trading systems (Oct 2016) .......... 21   28.,"['onlin', 'mobil', 'trade', 'system', 'oct']",set(),N
37,MY SC Guidelines to Enhance Cyber resilience of Capital Mkt (Oct 2016) ............... 22   27.,"['sc', 'guidelin', 'enhanc', 'cyber', 'resili', 'capit', 'mkt', 'oct']",{'cyber'},Y
38,UK CBEST Intelligence-Led Vulnerability Testing 2.0 (2016)....................................... 23   26.,"['uk', 'cbest', 'vulner', 'test']",set(),N
39,IE CB Cross Industry Guidance on IT and Cybersecurity Risks (Sept 2016) .............. 24   25.,"['ie', 'cb', 'cross', 'industri', 'guidanc', 'cybersecur', 'risk', 'sept']","{'industri', 'cybersecur'}",Y
40,India Non-Banking Financial Company - Account Aggregators (Sep 2016) ............... 24   24.,"['india', 'financi', 'compani', 'account', 'aggreg', 'sep']",set(),N
41,ENISA Strategies for Incident Response & Cyber Crisis Coop.,"['enisa', 'strategi', 'incid', 'respons', 'cyber', 'crisi', 'coop']",{'cyber'},Y
42,(Aug 2016) .............. 24   23.,['aug'],set(),N
43,MAS Guidelines on Outsourcing (Jul 2016) .......................................................................... 25   22.,"['ma', 'guidelin', 'outsourc', 'jul']",set(),N
44,EU Directive on Security of Network and Information Systems (Jul 2016) ................ 26   21.,"['eu', 'direct', 'secur', 'network', 'inform', 'system', 'jul']","{'secur', 'network', 'inform'}",Y
45,EBA ICT risk guidelines (Jun 2016; May 2017 finalized) ................................................ 27   20.,"['eba', 'ict', 'risk', 'guidelin', 'jun', 'may', 'final']",set(),N
46,CPMI-IOSCO Guidance on cybersecurity (Jun 2016) ........................................................ 28   19.,"['guidanc', 'cybersecur', 'jun']",{'cybersecur'},Y
