No.,Sentence,StemWords,MatchWords,Use
0,"Proceedings of the American Society for Engineering Management 2017 International Annual Conference  E-H. Ng, B. Nepal, and E. Schott eds.","['proceed', 'american', 'societi', 'engin', 'manag', 'intern', 'annual', 'confer', 'ng', 'nepal', 'schott', 'ed']","{'manag', 'intern'}",Y
1,"BENCHMARKING ESTONIA’S CYBER SECURITY: AN ON-RAMPING  METHODOLOGY FOR RAPID ADOPTION AND IMPLEMENTATION      Ernest Y. Wong*, Nan Porter, McKinnon Hokanson, Bing Bing Xie      United States Military Academy      ernest.wong@usma.edu   ____________________________________________________________________________________________    Abstract   In  April  of  2007,  Estonia  fell  victim  to  a  series  of  distributed  denial  of  service  (DDoS)  attacks  that  crippled  its  government websites, email servers, media outlets, and banking system for nearly a month.","['benchmark', 'estonia', 'cyber', 'secur', 'methodolog', 'rapid', 'adopt', 'implement', 'ernest', 'nan', 'porter', 'mckinnon', 'hokanson', 'bing', 'bing', 'xie', 'unit', 'state', 'militari', 'academi', 'abstract', 'april', 'estonia', 'fell', 'victim', 'seri', 'distribut', 'denial', 'servic', 'ddo', 'attack', 'crippl', 'govern', 'websit', 'email', 'server', 'media', 'outlet', 'bank', 'system', 'nearli', 'month']","{'secur', 'implement', 'cyber'}",Y
2,"Due to the devastating  effects  of  these  cyber  attacks,  Estonia  took  great  efforts  to  strengthen  its  cyber  security  protocols.","['due', 'devast', 'effect', 'cyber', 'attack', 'estonia', 'took', 'great', 'effort', 'strengthen', 'cyber', 'secur', 'protocol']","{'secur', 'cyber'}",Y
3,This  research  analyzes the reforms that Estonia has implemented in its domestic and foreign policies and attempts to determine if  any of it systemic improvements can help to also bolster cyber security in the United States (US).,"['research', 'analyz', 'reform', 'estonia', 'implement', 'domest', 'foreign', 'polici', 'attempt', 'determin', 'system', 'improv', 'help', 'also', 'bolster', 'cyber', 'secur', 'unit', 'state', 'us']","{'secur', 'implement', 'cyber'}",Y
4,The findings from  this research are that Estonia’s policy reforms in cyber security have been the most significant in areas that the US  currently lacks.,"['find', 'research', 'estonia', 'polici', 'reform', 'cyber', 'secur', 'signific', 'area', 'us', 'current', 'lack']","{'secur', 'cyber'}",Y
5,"Domestically, Estonia has a cyber education program that significantly highlights awareness of the  risks to its critical cyber infrastructure.","['domest', 'estonia', 'cyber', 'educ', 'program', 'significantli', 'highlight', 'awar', 'risk', 'critic', 'cyber', 'infrastructur']",{'cyber'},Y
6,"Estonia has also promoted public and private partnerships to jointly analyze,  assess, and defend itself against future  cyber attacks..","['estonia', 'also', 'promot', 'public', 'privat', 'partnership', 'jointli', 'analyz', 'assess', 'defend', 'futur', 'cyber']",{'cyber'},Y
7,"In foreign affairs, Estonia has bolstered  its relationship  with  allied nations in new  ways  and has synchronized its foreign policies to  improve  stakeholder engagement on cyber  defense.","['foreign', 'affair', 'estonia', 'bolster', 'relationship', 'alli', 'nation', 'new', 'way', 'synchron', 'foreign', 'polici', 'improv', 'stakehold', 'engag', 'cyber', 'defens']",{'cyber'},Y
8,The  critical  changes  that  Estonia  has  adopted  and  implemented  throughout  the  past  decade  are  what  this  research  endeavors  to  recommend  for  the  US  to  consider  into  its  defense  of  the  cyber  domain.,"['critic', 'chang', 'estonia', 'adopt', 'implement', 'throughout', 'past', 'decad', 'research', 'endeavor', 'recommend', 'us', 'consid', 'defens', 'cyber', 'domain']","{'implement', 'cyber'}",Y
9,"Furthermore,  this  research proposes an on-ramping methodology that helps to frame how an organization can more easiliy integrate new  processes, practices, and procedures that have worked well for others.","['furthermor', 'research', 'propos', 'methodolog', 'help', 'frame', 'organ', 'easiliy', 'integr', 'new', 'process', 'practic', 'procedur', 'work', 'well', 'other']","{'practic', 'organ', 'work'}",Y
