No.,Sentence,StemWords,MatchWords,Use
0,    The below entities collaborated in the creation of this guide.,"['entiti', 'collabor', 'creation', 'guid']",set(),N
1,"This does not constitute or implyan endorsement by the FCC of any commercial product, service or enterprise of these entities.","['constitut', 'implyan', 'endors', 'fcc', 'commerci', 'product', 'servic', 'enterpris', 'entiti']",set(),N
2,"This guide is not a substitute for consulting trained cyber security professionals.Cyber SecurityPlanning GuidePrivacy and Data Security  Scams and Fraud  Network Security  Website Security  Email  Mobile Devices  Employees  Facility Security  Operational Security  Payment Cards  Incident Response and Reporting  Policy Development, Management  Cyber Security Glossary  Cyber Security Links  PDS-1 - PDS-2  SF-1 - SF-3  NS-1 - NS-2  WS-1 - WS-4  E-1 - E-2  MD-1 - MD-3  EMP-1 - EMP-3  FS-1 - FS-2  OS-1 - OS-3  PC-1 - PC-2  IRR-1 - IRR-2  PDM-1 - PDM-2  CSG-1 - CSG-10  CSL-1 - CSL-3  TC-1Table of Contents SectionPage#sThank you forusing the FCC’s Small Biz Cyber Planner,a toolforsmall businesses to create customized cybersecurity planning guides.","['guid', 'substitut', 'consult', 'train', 'cyber', 'secur', 'securityplan', 'guid', 'privaci', 'data', 'secur', 'scam', 'fraud', 'network', 'secur', 'websit', 'secur', 'email', 'mobil', 'devic', 'employe', 'facil', 'secur', 'oper', 'secur', 'payment', 'card', 'incid', 'respons', 'report', 'polici', 'develop', 'manag', 'cyber', 'secur', 'glossari', 'cyber', 'secur', 'link', 'content', 'sectionpag', 'sthank', 'forus', 'fcc', 'small', 'biz', 'cyber', 'planner', 'toolforsmal', 'busi', 'creat', 'custom', 'cybersecur', 'plan', 'guid']","{'network', 'manag', 'develop', 'cyber', 'devic', 'secur', 'cybersecur'}",Y
3,Businesses largeand small need todo more toprotect againstgrowing cyberthreats.,"['busi', 'largeand', 'small', 'need', 'todo', 'toprotect', 'againstgrow', 'cyberthreat']",set(),N
4,"Aslarger companies take steps to secure their systems, less secure small businesses are easier targets for cyber criminals.Thisplanningguide isdesigned to meet the specificneedsof your company,using the FCC’s customizable Small BizCyber Plannertool.","['aslarg', 'compani', 'take', 'step', 'secur', 'system', 'less', 'secur', 'small', 'busi', 'easier', 'target', 'cyber', 'isdesign', 'meet', 'specificneedsof', 'compani', 'use', 'fcc', 'customiz', 'small', 'bizcyb', 'plannertool']","{'secur', 'cyber'}",Y
5,"The toolis designedforbusinesses that lack the resources tohirededicated staff to protect theirbusiness, information and customers from cyber threats.Even a businesswithone computeror one credit card terminal canbenefit from this important tool.","['tooli', 'designedforbusi', 'lack', 'resourc', 'tohireded', 'staff', 'protect', 'theirbusi', 'inform', 'custom', 'cyber', 'businesswithon', 'computeror', 'one', 'credit', 'card', 'termin', 'canbenefit', 'import', 'tool']","{'cyber', 'inform'}",Y
6,Wegenerally recommend that businesses using more sophisticatednetworkswithdozens of computers consulta cyber security expert in addition tousing the cyberplanner.,"['wegener', 'recommend', 'busi', 'use', 'sophisticatednetworkswithdozen', 'comput', 'consulta', 'cyber', 'secur', 'expert', 'addit', 'tous', 'cyberplann']","{'secur', 'cyber'}",Y
7,"TheFCCprovidesnowarranties with respect to theguidance provided by this tool and is not responsible for anyharm thatmight occur as a result ofor in spiteof itsuse.Theguidancewasdeveloped by the FCCwith inputfrom public and private sectorpartners, including the Departmentof Homeland Security, the National Cybersecurity Alliance and The Chamber of Commerce.","['thefccprovidesnowarranti', 'respect', 'theguid', 'provid', 'tool', 'respons', 'anyharm', 'thatmight', 'occur', 'result', 'ofor', 'spiteof', 'fccwith', 'inputfrom', 'public', 'privat', 'sectorpartn', 'includ', 'departmentof', 'homeland', 'secur', 'nation', 'cybersecur', 'allianc', 'chamber', 'commerc']","{'secur', 'includ', 'cybersecur'}",Y
8,"PDM-1 All companies should develop and maintain clear and robust policies for safeguarding critical business data and sensitive information, protecting their reputation and discouraging inappropriate behavior by employees.","['compani', 'develop', 'maintain', 'clear', 'robust', 'polici', 'safeguard', 'critic', 'busi', 'data', 'sensit', 'inform', 'protect', 'reput', 'discourag', 'inappropri', 'behavior', 'employe']","{'develop', 'inform'}",Y
9,"Many of these types of policies already exist for “real world” situations, but may need to be tailored to your organization and updated to reflect the increasing impact of cyberspace on everyday transactions, both professional and personal.","['mani', 'type', 'polici', 'alreadi', 'exist', 'real', 'world', 'situat', 'may', 'need', 'tailor', 'organ', 'updat', 'reflect', 'increas', 'impact', 'cyberspac', 'everyday', 'transact', 'profession', 'person']",{'organ'},Y
10,"As with any other business document, cyber security policies should follow good design and governance practices -- not so long that they become unusable, not so vague that they become meaningless, and reviewed on a regular basis to ensure that they stay pertinent as your business needs change.","['busi', 'document', 'cyber', 'secur', 'polici', 'follow', 'good', 'design', 'govern', 'practic', 'long', 'becom', 'unus', 'vagu', 'becom', 'meaningless', 'review', 'regular', 'basi', 'ensur', 'stay', 'pertin', 'busi', 'need', 'chang']","{'practic', 'secur', 'cyber'}",Y
11,"Please note that this document does not address all policy requirements for businesses that fall under legislative acts or directives, such as the Health Insurance Portability and Accountability Act, Sarbanes-Oxley Act or other federal, state or local statutes.","['pleas', 'note', 'document', 'address', 'polici', 'requir', 'busi', 'fall', 'legisl', 'act', 'direct', 'health', 'insur', 'portabl', 'account', 'act', 'act', 'feder', 'state', 'local', 'statut']",{'requir'},Y
12,Cyber Plan Action Items:  1.,"['cyber', 'plan', 'action', 'item']",{'cyber'},Y
13,Establish security roles and responsibilities  One of the most effective and least expensive means of preventing serious cyber security incidents is to establish a policy that clearly defines the separation of roles and responsibilities with regard to systems and the information they contain.,"['establish', 'secur', 'role', 'respons', 'one', 'effect', 'least', 'expens', 'mean', 'prevent', 'seriou', 'cyber', 'secur', 'incid', 'establish', 'polici', 'clearli', 'defin', 'separ', 'role', 'respons', 'regard', 'system', 'inform', 'contain']","{'secur', 'cyber', 'inform'}",Y
14,"Many systems are designed to provide for strong Role-Based Access Control (RBAC), but this tool is of little use without well-defined procedures and policies to govern the assignment of roles and their associated constraints.","['mani', 'system', 'design', 'provid', 'strong', 'access', 'control', 'rbac', 'tool', 'littl', 'use', 'without', 'procedur', 'polici', 'govern', 'assign', 'role', 'associ', 'constraint']","{'control', 'access'}",Y
15,"Such policies need to clearly state, at a minimum:  • Clearly identify company data ownership and employee roles for security oversight and their inherit privileges, including: o Necessary roles, and the privileges and constraints accorded to those roles.","['polici', 'need', 'clearli', 'state', 'minimum', 'clearli', 'identifi', 'compani', 'data', 'ownership', 'employe', 'role', 'secur', 'oversight', 'inherit', 'privileg', 'includ', 'necessari', 'role', 'privileg', 'constraint', 'accord', 'role']","{'secur', 'includ'}",Y
16,o The types of employees who should be allowed to assume the various roles.,"['type', 'employe', 'allow', 'assum', 'variou', 'role']",set(),N
17,o How long an employee may hold a role before access rights must be reviewed.,"['long', 'employe', 'may', 'hold', 'role', 'access', 'right', 'must', 'review']",{'access'},Y
18,"o If employees may hold multiple roles, the circumstances defining when to adopt one role over another.","['employe', 'may', 'hold', 'multipl', 'role', 'circumst', 'defin', 'adopt', 'one', 'role', 'anoth']",set(),N
19,"Depending on the types of data regularly handled by your business, it may also make sense to create separate policies governing who is responsible for certain types of data.","['depend', 'type', 'data', 'regularli', 'handl', 'busi', 'may', 'also', 'make', 'sens', 'creat', 'separ', 'polici', 'govern', 'respons', 'certain', 'type', 'data']",set(),N
20,"For example, a business that handles large volumes of personally identifiable information (PII) from its customers may benefit from identifying a chief steward for customers’ privacy information.","['exampl', 'busi', 'handl', 'larg', 'volum', 'person', 'identifi', 'inform', 'pii', 'custom', 'may', 'benefit', 'identifi', 'chief', 'steward', 'custom', 'privaci', 'inform']",{'inform'},Y
21,"The steward could serve not only as a subject matter expert on all matters of privacy, but also to serve as the champion for process and technical improvements to PII handling.","['steward', 'could', 'serv', 'subject', 'matter', 'expert', 'matter', 'privaci', 'also', 'serv', 'champion', 'process', 'technic', 'improv', 'pii', 'handl']",set(),N
22,2.,[],set(),N
23,Establish an employee Internet usage policy   The limits on employee Internet usage in the workplace vary widely from business to business.,"['establish', 'employe', 'internet', 'usag', 'polici', 'limit', 'employe', 'internet', 'usag', 'workplac', 'vari', 'wide', 'busi', 'busi']",{'internet'},Y
24,Your guidelines should allow employees the maximum degree of freedom they require to be productive (short breaks to surf the web or perform personal tasks online have been shown to increase productivity).,"['guidelin', 'allow', 'employe', 'maximum', 'degre', 'freedom', 'requir', 'product', 'short', 'break', 'surf', 'web', 'perform', 'person', 'task', 'onlin', 'shown', 'increas', 'product']",{'requir'},Y
25,"At the same time, rules of behavior are necessary to ensure that all employees are aware of boundaries, both to keep them safe and to keep your company successful.","['time', 'rule', 'behavior', 'necessari', 'ensur', 'employe', 'awar', 'boundari', 'keep', 'safe', 'keep', 'compani', 'success']",set(),N
26,Some to consider:  • Personal breaks to surf the web should be limited to a reasonable amount of time and to certain types of activities.,"['consid', 'person', 'break', 'surf', 'web', 'limit', 'reason', 'amount', 'time', 'certain', 'type', 'activ']",set(),N
27,"• If you use a web filtering system, employees should have clear knowledge of how and why their web activities will be monitored, and what types of sites are deemed unacceptable by your policy.","['use', 'web', 'filter', 'system', 'employe', 'clear', 'knowledg', 'web', 'activ', 'monitor', 'type', 'site', 'deem', 'unaccept', 'polici']",set(),N
28,"• Workplace rules of behavior should be clear, concise and easy to follow.","['workplac', 'rule', 'behavior', 'clear', 'concis', 'easi', 'follow']",set(),N
29,Employees should feel comfortable performing both personal and professional tasks online without making judgment calls as to what may or may not be deemed appropriate.,"['employe', 'feel', 'comfort', 'perform', 'person', 'profession', 'task', 'onlin', 'without', 'make', 'judgment', 'call', 'may', 'may', 'deem', 'appropri']",set(),N
30,Businesses may want to include a splash warning upon network sign-on that advises the employees of the businesses’ Internet usage policies so that all employees are on notice.,"['busi', 'may', 'want', 'includ', 'splash', 'warn', 'upon', 'network', 'advis', 'employe', 'busi', 'internet', 'usag', 'polici', 'employe', 'notic']","{'internet', 'network', 'includ'}",Y
