No.,Sentence,StemWords,MatchWords,Use
0,"CYBERSECURITY: DIVISION OF RESPONSIBILITY IN THE U.S. GOVERNMENT                                         Joeli R. Field   INTL604 Interagency Operations   American Military University   September 18, 2010                                               INTRODUCTION   2            The  cyber  threat  is  one  of  the  most  serious  economic  and  national  security   challenges we face as a nation.","['cybersecur', 'divis', 'respons', 'govern', 'joeli', 'field', 'interag', 'oper', 'american', 'militari', 'univers', 'septemb', 'introduct', 'cyber', 'threat', 'one', 'seriou', 'econom', 'nation', 'secur', 'challeng', 'face', 'nation']","{'secur', 'cyber', 'cybersecur'}",Y
1,"- Barack Obama, President of the United States of America (Schmidt 2010, 1)      Both  the  public  and  private  sectors  rely  on  cyberspace  for  everyday  communication.","['barack', 'obama', 'presid', 'unit', 'state', 'america', 'schmidt', 'public', 'privat', 'sector', 'reli', 'cyberspac', 'everyday', 'commun']",set(),N
2,"Whether  for  professional  services,  safeguarding  of  classified  federal  information  or  personal   correspondence,  the  Internet  and  computer  networks  are  vital  to  American  infrastructure.","['whether', 'profession', 'servic', 'safeguard', 'classifi', 'feder', 'inform', 'person', 'correspond', 'internet', 'comput', 'network', 'vital', 'american', 'infrastructur']","{'internet', 'network', 'inform'}",Y
3,Protection  of  this  cyber  infrastructure  is  defined  as  cybersecurity  (Aitoro  2010).,"['protect', 'cyber', 'infrastructur', 'defin', 'cybersecur', 'aitoro']","{'cyber', 'cybersecur'}",Y
4,"For  clarity   purposes,  several  terms  regarding  cybersecurity  will  be  defined.","['clariti', 'purpos', 'sever', 'term', 'regard', 'cybersecur', 'defin']",{'cybersecur'},Y
5,"In  this  paper,  cyberwarfare   refers  to  an  intentional  computer-based  attack  from  one  State  on  another  to  cause  real-world   harm (Vijayan 2010).","['paper', 'cyberwarfar', 'refer', 'intent', 'attack', 'one', 'state', 'anoth', 'caus', 'harm', 'vijayan']",set(),N
6,Cyber-espionage is an attempt to steal sensitive digital information from a   government  or  network  (Harris  2010).,"['attempt', 'steal', 'sensit', 'digit', 'inform', 'govern', 'network', 'harri']","{'network', 'inform'}",Y
7,Cybercrime  is  any  type  of  theft  in  which  a  computer  or   network has been used to commission the crime (Aitoro 2010).,"['cybercrim', 'type', 'theft', 'comput', 'network', 'use', 'commiss', 'crime', 'aitoro']",{'network'},Y
8,"The  problem  with  any  of  these  defined  cyber  threats  is  that  with  the  vast  number  of   Internet and network users, it is hard to identify who the threat is or where it is based.","['problem', 'defin', 'cyber', 'threat', 'vast', 'number', 'internet', 'network', 'user', 'hard', 'identifi', 'threat', 'base']","{'internet', 'cyber', 'network'}",Y
9,"Various   government  agencies  have  developed  their  own  methods  for  dealing  with  cybersecurity,  but  a   collective  effort  to  protect  the  nation?s  infrastructure  is  a  relatively  new  idea.","['variou', 'govern', 'agenc', 'develop', 'method', 'deal', 'cybersecur', 'collect', 'effort', 'protect', 'nation', 'infrastructur', 'rel', 'new', 'idea']","{'develop', 'cybersecur'}",Y
