No.,Sentence,StemWords,MatchWords,Use
0,Who Should  Lead U.S.  Cybersecurity  Efforts?,"['lead', 'cybersecur', 'effort']",{'cybersecur'},Y
1,"By KeVIn P. neWMeyeR  T hreats to computer systems, government and commercial networks—and even private   citizens’ personal information—have exploded in recent years, but the U.S. Government  has failed to address these threats adequately.","['kevin', 'newmey', 'hreat', 'comput', 'system', 'govern', 'commerci', 'even', 'privat', 'citizen', 'person', 'explod', 'recent', 'year', 'govern', 'fail', 'address', 'threat', 'adequ']",set(),N
2,"One author has stated that “the cyber threat  [is] the most pervasive and pernicious threat” facing the country today.1 The danger is no longer  random teenagers looking for thrills by hacking into the local university network, but sophisticated  criminal enterprises looking to steal information or money.","['one', 'author', 'state', 'cyber', 'threat', 'pervas', 'pernici', 'threat', 'face', 'countri', 'danger', 'longer', 'random', 'teenag', 'look', 'thrill', 'hack', 'local', 'univers', 'network', 'sophist', 'crimin', 'enterpris', 'look', 'steal', 'inform', 'money']","{'cyber', 'inform', 'network'}",Y
3,The same technologies used to attack  financial systems can be unleashed on the Nation’s critical infrastructure.,"['technolog', 'use', 'attack', 'financi', 'system', 'unleash', 'nation', 'critic', 'infrastructur']",{'technolog'},Y
4,"In 2007, several Cabinet  Departments including Defense, Homeland Security, and Commerce were hacked and terabytes of  information were exfiltrated by unknown agents.2  The discovery of the Stuxnet virus in 2010 pointed to nation-state involvement in cyber attacks  at an unprecedented level and followed the Ghostnet penetrations of the Dali Lama’s networks in  2009.","['sever', 'cabinet', 'depart', 'includ', 'defens', 'homeland', 'secur', 'commerc', 'hack', 'terabyt', 'inform', 'exfiltr', 'unknown', 'discoveri', 'stuxnet', 'viru', 'point', 'involv', 'cyber', 'attack', 'unpreced', 'level', 'follow', 'ghostnet', 'penetr', 'dali', 'lama', 'network']","{'network', 'inform', 'cyber', 'secur', 'includ'}",Y
5,Cybersecurity changed from a nuisance problem in the early 1990s to a vital national security  issue in the early 21st century.,"['cybersecur', 'chang', 'nuisanc', 'problem', 'earli', 'vital', 'nation', 'secur', 'issu', 'earli', 'centuri']","{'secur', 'cybersecur'}",Y
6,"In one of his first acts, President Barack Obama called for a compre- hensive review of U.S. policy on cybersecurity, but little has been done to implement the recommen- dations from the review.3 While the White House published its International Strategy for Cyberspace  in May 2011, the document does little to address the current domestic situation.","['one', 'first', 'act', 'presid', 'barack', 'obama', 'call', 'hensiv', 'review', 'polici', 'cybersecur', 'littl', 'done', 'implement', 'dation', 'white', 'hous', 'publish', 'intern', 'strategi', 'cyberspac', 'may', 'document', 'littl', 'address', 'current', 'domest', 'situat']","{'implement', 'intern', 'cybersecur'}",Y
7,Despite the need   Kevin P. newmeyer is an assistant Professor in the Center for hemispheric Defense Studies at  the national Defense university.,"['despit', 'need', 'kevin', 'newmey', 'assist', 'professor', 'center', 'hemispher', 'defens', 'studi', 'nation', 'defens', 'univers']",set(),N
8,"PRISM 3, no.",['prism'],set(),N
9,"2   FeatuReS  | 115  newMeyeR  for effective national cybersecurity policy, the  lack of consensus on which leadership model  would best achieve the desired results continues  to delay policy implementation.","['featur', 'newmey', 'effect', 'nation', 'cybersecur', 'polici', 'lack', 'consensu', 'leadership', 'model', 'would', 'best', 'achiev', 'desir', 'result', 'continu', 'delay', 'polici', 'implement']","{'implement', 'cybersecur'}",Y
10,Several authors have proposed strategies and  models for U.S. cybersecurity policy leadership.,"['sever', 'author', 'propos', 'strategi', 'model', 'cybersecur', 'polici', 'leadership']",{'cybersecur'},Y
11,"One prominent school of thought, highlighted  by the Center for Strategic and International  Studies (CSIS) report Securing Cyberspace for the  44th Presidency, is that cybersecurity policy direction  should fall under a powerful “czar” in the Executive  Office of the President.","['one', 'promin', 'school', 'thought', 'highlight', 'center', 'strateg', 'intern', 'studi', 'csi', 'report', 'secur', 'cyberspac', 'presid', 'cybersecur', 'polici', 'direct', 'fall', 'power', 'czar', 'execut', 'offic', 'presid']","{'secur', 'intern', 'cybersecur'}",Y
12,The authors believe the  centralization of power in the White House is  the best course of action for providing the neces- sary policy direction.,"['author', 'believ', 'central', 'power', 'white', 'hous', 'best', 'cours', 'action', 'provid', 'sari', 'polici', 'direct']",set(),N
13,"A second school of thought   despite the need for effective national  cybersecurity policy, the lack of  consensus on which leadership   model would best achieve the   desired results continues to delay   policy implementation  argues that policy direction would best be accom- plished through a Cabinet-level department.","['second', 'school', 'thought', 'despit', 'need', 'effect', 'nation', 'cybersecur', 'polici', 'lack', 'consensu', 'leadership', 'model', 'would', 'best', 'achiev', 'desir', 'result', 'continu', 'delay', 'polici', 'implement', 'argu', 'polici', 'direct', 'would', 'best', 'plish', 'depart']","{'implement', 'cybersecur'}",Y
14,"One  study from this school argues that responsibility  should remain with the Department of Homeland  Security due to its role as the lead agency for  response to domestic incidents.4 Others argue  that moving the responsibility to the Executive  Office of the President from Homeland Security  would be insufficient and that a broader restructur- ing is needed to address the triad of cybersecurity  (government at Federal, state, and local levels).","['one', 'studi', 'school', 'argu', 'respons', 'remain', 'depart', 'homeland', 'secur', 'due', 'role', 'lead', 'agenc', 'respons', 'domest', 'other', 'argu', 'move', 'respons', 'execut', 'offic', 'presid', 'homeland', 'secur', 'would', 'insuffici', 'broader', 'ing', 'need', 'address', 'triad', 'cybersecur', 'govern', 'feder', 'state', 'local', 'level']","{'secur', 'cybersecur'}",Y
15,Paul Rosenzweig presents an argument for the  Department of Defense (DOD) assuming the lead- ership role based on the depth of talent and expe- rience resident in the National Security Agency  (NSA) as compared to the relative lack of human  capital in the Department of Homeland Security.5  None of the present studies has provided a  model that achieves the necessary political con- sensus on the approach to cybersecurity lead- ership to implement.,"['paul', 'rosenzweig', 'present', 'argument', 'depart', 'defens', 'dod', 'assum', 'ership', 'role', 'base', 'depth', 'talent', 'rienc', 'resid', 'nation', 'secur', 'agenc', 'nsa', 'compar', 'rel', 'lack', 'human', 'capit', 'depart', 'homeland', 'none', 'present', 'studi', 'provid', 'model', 'achiev', 'necessari', 'polit', 'sensu', 'approach', 'cybersecur', 'ership', 'implement']","{'secur', 'implement', 'cybersecur'}",Y
16,Arguments for a strong  White House role fail to address the limited  success this model has had in other areas such  as the war on drugs.,"['argument', 'strong', 'white', 'hous', 'role', 'fail', 'address', 'limit', 'success', 'model', 'area', 'war', 'drug']",set(),N
17,Granting the leadership  role to DOD ignores the lack of legal authorities  for the military to act in domestic roles under  the Posse Comitatus Act.,"['grant', 'leadership', 'role', 'dod', 'ignor', 'lack', 'legal', 'author', 'militari', 'act', 'domest', 'role', 'poss', 'comitatu', 'act']",set(),N
18,"The Department of  Homeland Security, although having respon- sibility, has not been able to achieve necessary  levels of performance for a variety of reasons.","['depart', 'homeland', 'secur', 'although', 'sibil', 'abl', 'achiev', 'necessari', 'level', 'perform', 'varieti', 'reason']",{'secur'},Y
19,"Indeed, the White House czar model offers the  advantage of access to the inner circle of the  President and the bully pulpit but no regula- tory capability.","['inde', 'white', 'hous', 'czar', 'model', 'offer', 'advantag', 'access', 'inner', 'circl', 'presid', 'bulli', 'pulpit', 'tori', 'capabl']",{'access'},Y
20,The Cabinet department model  offers regulatory power but lacks the authority  of the White House in the interagency process.,"['cabinet', 'depart', 'model', 'offer', 'regulatori', 'power', 'lack', 'author', 'white', 'hous', 'interag', 'process']",set(),N
21,Options for Cybersecurity Leadership Policy leadership can remain in the White  House with a powerful cyber czar able to set and  implement policy decisions with the backing  of the President.,"['option', 'cybersecur', 'leadership', 'polici', 'leadership', 'remain', 'white', 'hous', 'power', 'cyber', 'czar', 'abl', 'set', 'implement', 'polici', 'decis', 'back', 'presid']","{'implement', 'cyber', 'cybersecur'}",Y
22,It could also be vested in one  of the Cabinet departments.,"['could', 'also', 'vest', 'one', 'cabinet', 'depart']",set(),N
23,"The Department  of Homeland Security currently has a role in  policy coordination among government agen- cies for nondefense networks and systems, but  each department remains responsible for its  own systems.6 DOD is responsible for its own  systems, both classified and unclassified, as well  as some defense-related critical infrastructure  necessary to defend the Nation.","['depart', 'homeland', 'secur', 'current', 'role', 'polici', 'coordin', 'among', 'govern', 'cie', 'nondefens', 'network', 'system', 'depart', 'remain', 'respons', 'dod', 'respons', 'system', 'classifi', 'unclassifi', 'well', 'critic', 'infrastructur', 'necessari', 'defend', 'nation']","{'secur', 'network'}",Y
24,A third alterna- tive is the creation of a new entity within the  Federal Government as a hybrid.,"['third', 'tive', 'creation', 'new', 'entiti', 'within', 'feder', 'govern', 'hybrid']",set(),N
25,The History  The origins of U.S. cybersecurity policy rest  in critical infrastructure protection efforts begun  during the Clinton administration.,"['histori', 'origin', 'cybersecur', 'polici', 'rest', 'critic', 'infrastructur', 'protect', 'effort', 'begun', 'clinton', 'administr']",{'cybersecur'},Y
26,"President   116 |  FeatuReS   PRISM 3, no.","['presid', 'featur', 'prism']",set(),N
27,2  who Should lead u.S. cybeRSecuRIty effoRtS?,"['lead', 'cybersecur', 'effort']",{'cybersecur'},Y
