No.,Sentence,StemWords,MatchWords,Use
0,"Data protection  A practical guide to  IT security Ideal for the small business  Under the Data Protection Act, you have  responsibilities to protect the personal information  that you and your staff collect and use.","['data', 'protect', 'practic', 'guid', 'secur', 'ideal', 'small', 'busi', 'data', 'protect', 'act', 'respons', 'protect', 'person', 'inform', 'staff', 'collect', 'use']","{'practic', 'secur', 'inform'}",Y
1,This includes  a requirement to have appropriate security to prevent  it being accidentally or deliberately compromised.,"['includ', 'requir', 'appropri', 'secur', 'prevent', 'accident', 'deliber', 'compromis']","{'secur', 'includ', 'requir'}",Y
2,"Breaches of data protection legislation could lead to  your business incurring a fine – up to £500,000 in  serious cases.","['breach', 'data', 'protect', 'legisl', 'could', 'lead', 'busi', 'incur', 'fine', 'seriou', 'case']",set(),N
3,The reputation of your business could  also be damaged if inadequate security contributes to  high profile incidents of data loss or theft.,"['reput', 'busi', 'could', 'also', 'damag', 'inadequ', 'secur', 'contribut', 'high', 'profil', 'incid', 'data', 'loss', 'theft']",{'secur'},Y
4,This guide gives advice for small businesses on how  to keep IT systems safe and secure.,"['guid', 'give', 'advic', 'small', 'busi', 'keep', 'system', 'safe', 'secur']",{'secur'},Y
5,"A practical guide to IT security  3  10 practical ways to keep your   IT systems safe and secure  Keeping your IT systems safe and secure can be a  complex task and does require time, resource and  specialist knowledge.","['practic', 'guid', 'secur', 'practic', 'way', 'keep', 'system', 'safe', 'secur', 'keep', 'system', 'safe', 'secur', 'complex', 'task', 'requir', 'time', 'resourc', 'specialist', 'knowledg']","{'practic', 'secur', 'requir'}",Y
6,If you have personal data within  your IT system you need to recognise that it may be at  risk and take appropriate technical measures to secure  it.,"['person', 'data', 'within', 'system', 'need', 'recognis', 'may', 'risk', 'take', 'appropri', 'technic', 'measur', 'secur']","{'secur', 'measur'}",Y
7,The measures you put in place should fit the needs  of your particular business.,"['measur', 'put', 'place', 'fit', 'need', 'particular', 'busi']",{'measur'},Y
8,They don’t necessarily   have to be expensive or onerous.,"['necessarili', 'expens', 'oner']",set(),N
9,They may even be  free or already available within the IT systems you  currently have.,"['may', 'even', 'free', 'alreadi', 'avail', 'within', 'system', 'current']",set(),N
10,The following practical steps will help you decide how   to manage the security of the personal data you hold.,"['follow', 'practic', 'step', 'help', 'decid', 'manag', 'secur', 'person', 'data', 'hold']","{'practic', 'secur', 'manag'}",Y
11,4  Assess the threats and risks to your business  1  Assess the threats and risks   to your business  Before you can establish what level of security is   right for your business you will need to review the  personal data you hold and assess the risks to that  data.,"['assess', 'threat', 'risk', 'busi', 'assess', 'threat', 'risk', 'busi', 'establish', 'level', 'secur', 'right', 'busi', 'need', 'review', 'person', 'data', 'hold', 'assess', 'risk', 'data']",{'secur'},Y
12,"You should consider all processes involved   that require you to collect, store, use and dispose   of personal data.","['consid', 'process', 'involv', 'requir', 'collect', 'store', 'use', 'dispos', 'person', 'data']",{'requir'},Y
13,"Consider how valuable, sensitive or confidential the  information is and what damage or distress could be  caused to individuals if there was a security breach.","['consid', 'valuabl', 'sensit', 'confidenti', 'inform', 'damag', 'distress', 'could', 'caus', 'individu', 'secur', 'breach']","{'secur', 'inform'}",Y
14,With a clear view of the risks you can begin to choose  the security measures that are appropriate for your  needs.,"['clear', 'view', 'risk', 'begin', 'choos', 'secur', 'measur', 'appropri', 'need']","{'secur', 'measur'}",Y
15,The next step is to begin putting them in place.,"['next', 'step', 'begin', 'put', 'place']",set(),N
16,Get in line with Cyber Essentials  5  Get in line with Cyber Essentials  2  What is the problem?,"['get', 'line', 'cyber', 'essenti', 'get', 'line', 'cyber', 'essenti', 'problem']",{'cyber'},Y
17,There is no single product that will provide a   complete guarantee of security for your business.,"['singl', 'product', 'provid', 'complet', 'guarante', 'secur', 'busi']",{'secur'},Y
18,The recommended approach is to use a set of security  controls that complement each other but will require  ongoing support in order to maintain an appropriate  level of security.,"['recommend', 'approach', 'use', 'set', 'secur', 'control', 'complement', 'requir', 'ongo', 'support', 'order', 'maintain', 'appropri', 'level', 'secur']","{'secur', 'control', 'requir'}",Y
19,What can I do?,[],set(),N
20,The UK Government’s Cyber Essentials Scheme  describes the following five key controls for keeping  information secure.,"['uk', 'govern', 'cyber', 'essenti', 'scheme', 'describ', 'follow', 'five', 'key', 'control', 'keep', 'inform', 'secur']","{'secur', 'control', 'cyber', 'inform'}",Y
21,Obtaining a Cyber Essentials  certificate can provide certain security assurances   and help protect personal data in your IT systems.,"['obtain', 'cyber', 'essenti', 'certif', 'provid', 'certain', 'secur', 'assur', 'help', 'protect', 'person', 'data', 'system']","{'secur', 'cyber'}",Y
22,Boundary firewalls and internet gateways This will be your first line of defence against an  intrusion from the internet.,"['boundari', 'firewal', 'internet', 'gateway', 'first', 'line', 'defenc', 'intrus', 'internet']",{'internet'},Y
23,A well configured firewall  can stop breaches happening before they penetrate  deep into your network.,"['well', 'configur', 'firewal', 'stop', 'breach', 'happen', 'penetr', 'deep', 'network']",{'network'},Y
24,An internet gateway can  prevent users within your organisation accessing  websites or other online services that present a   threat or that you do not trust.,"['internet', 'gateway', 'prevent', 'user', 'within', 'organis', 'access', 'websit', 'onlin', 'servic', 'present', 'threat', 'trust']","{'internet', 'access'}",Y
25,6  Get in line with Cyber Essentials  2  Secure configuration Almost all hardware and software will require some  level of set-up and configuration in order to provide the  most effective protection.,"['get', 'line', 'cyber', 'essenti', 'secur', 'configur', 'almost', 'hardwar', 'softwar', 'requir', 'level', 'configur', 'order', 'provid', 'effect', 'protect']","{'secur', 'cyber', 'requir'}",Y
26,You should remove unused  software and services from your devices to reduce  the number of potential vulnerabilities.,"['remov', 'unus', 'softwar', 'servic', 'devic', 'reduc', 'number', 'potenti', 'vulner']",{'devic'},Y
27,Older versions  of some widespread software have well documented  security vulnerabilities.,"['older', 'version', 'widespread', 'softwar', 'well', 'document', 'secur', 'vulner']",{'secur'},Y
28,"If you don’t use it, then it is  much easier to remove it than try to keep it up-to-date.","['use', 'much', 'easier', 'remov', 'tri', 'keep']",set(),N
29,Make sure you have changed any default passwords  used by software or hardware – these are well known  by attackers.,"['make', 'sure', 'chang', 'default', 'password', 'use', 'softwar', 'hardwar', 'well', 'known', 'attack']",set(),N
30,Access control Restrict access to your system to users and sources you  trust.,"['access', 'control', 'restrict', 'access', 'system', 'user', 'sourc', 'trust']","{'control', 'access'}",Y
31,Each user must have and use their own username  and password.,"['user', 'must', 'use', 'usernam', 'password']",set(),N
32,Each user should use an account that has permissions  appropriate to the job they are carrying out at the time.,"['user', 'use', 'account', 'permiss', 'appropri', 'job', 'carri', 'time']",set(),N
33,You should also only use administrator accounts   when strictly necessary (eg for installing known and  trusted software).,"['also', 'use', 'administr', 'account', 'strictli', 'necessari', 'eg', 'instal', 'known', 'trust', 'softwar']",set(),N
34,"A brute force password attack is a common method of  attack, perhaps even by casual users trying to access  your Wi-Fi so you need to enforce strong passwords,  limit the number of failed login attempts and enforce  regular password changes.","['brute', 'forc', 'password', 'attack', 'common', 'method', 'attack', 'perhap', 'even', 'casual', 'user', 'tri', 'access', 'need', 'enforc', 'strong', 'password', 'limit', 'number', 'fail', 'login', 'attempt', 'enforc', 'regular', 'password', 'chang']",{'access'},Y
35,Passwords or other access should be cancelled  immediately if a staff member leaves the organisation  or is absent for long periods.,"['password', 'access', 'cancel', 'immedi', 'staff', 'member', 'leav', 'organis', 'absent', 'long', 'period']",{'access'},Y
36,Get in line with Cyber Essentials  7  2  Malware protection You should have anti-virus or anti-malware products  regularly scanning your network to prevent or detect  threats.,"['get', 'line', 'cyber', 'essenti', 'malwar', 'protect', 'product', 'regularli', 'scan', 'network', 'prevent', 'detect', 'threat']","{'cyber', 'network'}",Y
37,You will also need to make sure they are kept  up-to-date and that it is switched on and monitoring   the files that it should be.,"['also', 'need', 'make', 'sure', 'kept', 'switch', 'monitor', 'file']",set(),N
38,You should also make sure  you receive and act upon any alerts issued by the  malware protection.,"['also', 'make', 'sure', 'receiv', 'act', 'upon', 'alert', 'issu', 'malwar', 'protect']",set(),N
39,Patch management and software updates Computer equipment and software need regular  maintenance to keep it running smoothly and to fix   any security vulnerabilities.,"['patch', 'manag', 'softwar', 'updat', 'comput', 'equip', 'softwar', 'need', 'regular', 'mainten', 'keep', 'run', 'smoothli', 'fix', 'secur', 'vulner']","{'secur', 'manag'}",Y
40,Security software such as  anti-virus and anti-malware needs regular updates in  order to continue to provide adequate protection.,"['secur', 'softwar', 'need', 'regular', 'updat', 'order', 'continu', 'provid', 'adequ', 'protect']",{'secur'},Y
41,Keep your software up-to-date by checking regularly   for updates and applying them.,"['keep', 'softwar', 'check', 'regularli', 'updat', 'appli']",set(),N
42,Most software can be  set to update automatically.,"['softwar', 'set', 'updat', 'automat']",set(),N
43,"If your system is a few years old, you should review   the protection you have in place to make sure that it   is still adequate.","['system', 'year', 'old', 'review', 'protect', 'place', 'make', 'sure', 'still', 'adequ']",set(),N
44,8  Secure your data on the move and in the office  3  Secure your data on the move and   in the office  What is the problem?,"['secur', 'data', 'move', 'offic', 'secur', 'data', 'move', 'offic', 'problem']",{'secur'},Y
