No.,Sentence,StemWords,MatchWords,Use
0,"IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICSóPART A: SYSTEMS AND HUMANS, VOL.","['ieee', 'transact', 'system', 'man', 'system', 'human', 'vol']",set(),N
1,"40, NO.",[],set(),N
2,"4, JULY 2010  853  Cybersecurity for Critical Infrastructures:  Attack and Defense Modeling  Chee-Wooi Ten, Student Member, IEEE, Govindarasu Manimaran, Senior Member, IEEE, and  Chen-Ching Liu, Fellow, IEEE  AbstractóDisruption of electric power operations can be catastrophic on national security and the economy.","['juli', 'cybersecur', 'critic', 'infrastructur', 'attack', 'defens', 'model', 'ten', 'student', 'member', 'ieee', 'govindarasu', 'manimaran', 'senior', 'member', 'ieee', 'liu', 'fellow', 'ieee', 'electr', 'power', 'oper', 'catastroph', 'nation', 'secur', 'economi']","{'secur', 'cybersecur'}",Y
3,"Due to the complexity of widely dispersed assets and the interdependences among computer, communication, and power infrastructures, the requirement to meet security and quality compliance on opera- tions is a challenging issue.","['due', 'complex', 'wide', 'dispers', 'asset', 'interdepend', 'among', 'comput', 'commun', 'power', 'infrastructur', 'requir', 'meet', 'secur', 'qualiti', 'complianc', 'tion', 'challeng', 'issu']","{'secur', 'requir'}",Y
4,"In recent years, the North American Electric Reliability Corporation (NERC) established a cybersecu- rity standard that requires utilitiesí compliance on cybersecurity of control systems.","['recent', 'year', 'north', 'american', 'electr', 'reliabl', 'corpor', 'nerc', 'establish', 'riti', 'standard', 'requir', 'util', 'complianc', 'cybersecur', 'control', 'system']","{'control', 'requir', 'cybersecur', 'standard'}",Y
5,"This standard identi?es several cyber-related vulnerabilities that exist in control systems and recommends several remedial actions (e.g., best practices).","['standard', 'identi', 'es', 'sever', 'vulner', 'exist', 'control', 'system', 'recommend', 'sever', 'remedi', 'action', 'best', 'practic']","{'practic', 'control', 'standard'}",Y
6,"In this paper, a comprehensive survey on cybersecurity of critical infrastructures is reported.","['paper', 'comprehens', 'survey', 'cybersecur', 'critic', 'infrastructur', 'report']",{'cybersecur'},Y
7,A supervisory control and data acquisition security framework with the following four major components is proposed: 1) real-time monitoring; 2) anomaly detection; 3) impact analy- sis; and 4) mitigation strategies.,"['supervisori', 'control', 'data', 'acquisit', 'secur', 'framework', 'follow', 'four', 'major', 'compon', 'propos', 'monitor', 'anomali', 'detect', 'impact', 'si', 'mitig', 'strategi']","{'secur', 'control'}",Y
8,"In addition, an attack-tree-based methodology for impact analysis is developed.","['addit', 'methodolog', 'impact', 'analysi', 'develop']",{'develop'},Y
9,"The attack-tree formulation based on power system control networks is used to evaluate system-, scenario-, and leaf-level vulnerabilities by iden- tifying the systemís adversary objectives.","['formul', 'base', 'power', 'system', 'control', 'network', 'use', 'evalu', 'vulner', 'tifi', 'system', 'adversari', 'object']","{'control', 'network'}",Y
10,The leaf vulnerability is fundamental to the methodology that involves port auditing or password strength evaluation.,"['leaf', 'vulner', 'fundament', 'methodolog', 'involv', 'port', 'audit', 'password', 'strength', 'evalu']",set(),N
11,"The measure of vulnerabilities in the power system control framework is determined based on ex- isting cybersecurity conditions, and then, the vulnerability indices are evaluated.","['measur', 'vulner', 'power', 'system', 'control', 'framework', 'determin', 'base', 'ist', 'cybersecur', 'condit', 'vulner', 'indic', 'evalu']","{'measur', 'control', 'cybersecur'}",Y
12,"Index TermsóAttack tree, cybersecurity, defense systems,  power system control, security vulnerability.","['index', 'tree', 'cybersecur', 'defens', 'system', 'power', 'system', 'control', 'secur', 'vulner']","{'secur', 'control', 'cybersecur'}",Y
13,I.,[],set(),N
14,"INTRODUCTION  C RITICAL infrastructures are complex physical and cyber-  based systems that form the lifeline of a modern soci- ety, and their reliable and secure operation is of paramount importance to national security and economic vitality.","['introduct', 'c', 'ritic', 'infrastructur', 'complex', 'physic', 'base', 'system', 'form', 'lifelin', 'modern', 'eti', 'reliabl', 'secur', 'oper', 'paramount', 'import', 'nation', 'secur', 'econom', 'vital']",{'secur'},Y
15,"In most sense, the cyber system forms the backbone of a nationís critical infrastructures, which means that a major security incident on cyber systems could have signi?cant impacts on the reliable and safe operations of the physical systems that rely on it.","['sens', 'cyber', 'system', 'form', 'backbon', 'nation', 'critic', 'infrastructur', 'mean', 'major', 'secur', 'incid', 'cyber', 'system', 'could', 'signi', 'cant', 'impact', 'reliabl', 'safe', 'oper', 'physic', 'system', 'reli']","{'secur', 'cyber'}",Y
16,"The recent ?ndings, as documented in government reports [1]ñ [7], indicate the growing threat of physical and cyber-based  Manuscript received July 2, 2008.","['recent', 'nding', 'document', 'govern', 'report', 'indic', 'grow', 'threat', 'physic', 'manuscript', 'receiv', 'juli']",set(),N
17,"Date of publication June 3, 2010; date of current version June 16, 2010.","['date', 'public', 'june', 'date', 'current', 'version', 'june']",set(),N
18,"This work was supported by the Elec- tric Power Research Center, Iowa State University.","['work', 'support', 'tric', 'power', 'research', 'center', 'iowa', 'state', 'univers']",{'work'},Y
19,The authors would also like to acknowledge partial support by the Science Foundation Ireland (SFI) and U.S. National Science Foundation (NSF).,"['author', 'would', 'also', 'like', 'acknowledg', 'partial', 'support', 'scienc', 'foundat', 'ireland', 'sfi', 'nation', 'scienc', 'foundat', 'nsf']",set(),N
20,This paper was recommended by M. Ulieru.,"['paper', 'recommend', 'ulieru']",set(),N
21,C.-W.,[],set(),N
22,"Ten and C.-C. Liu are with the School of Electrical, Electronic and Mechanical Engineering, University College Dublin, National University of Ireland, Bel?eld, Dublin 4, Ireland (e-mail: cheewooi.ten@ucd.ie; liu@ucd.ie).","['ten', 'liu', 'school', 'electr', 'electron', 'mechan', 'engin', 'univers', 'colleg', 'dublin', 'nation', 'univers', 'ireland', 'bel', 'eld', 'dublin', 'ireland', 'liu']",set(),N
23,"G. Manimaran is with the Department of Electrical and Computer Engineer- ing, Iowa State University, Ames, IA 50010 USA (e-mail: gmani@iastate.edu).","['manimaran', 'depart', 'electr', 'comput', 'ing', 'iowa', 'state', 'univers', 'ame', 'ia', 'usa', 'gmani']",set(),N
24,Color versions of one or more of the ?gures in this paper are available online  at http://ieeexplore.ieee.org.,"['color', 'version', 'one', 'gure', 'paper', 'avail', 'onlin', 'http']",set(),N
25,Digital Object Identi?er 10.1109/TSMCA.2010.2048028  attacks in numbers and sophistication on electric grids and other critical infrastructure systems.,"['digit', 'object', 'identi', 'er', 'attack', 'number', 'sophist', 'electr', 'grid', 'critic', 'infrastructur', 'system']",set(),N
26,The focus of this paper is the cybersecurity of an electric power infrastructure.,"['focu', 'paper', 'cybersecur', 'electr', 'power', 'infrastructur']",{'cybersecur'},Y
27,The three modes of malicious attacks on power infrastructure are as follows: 1) attack upon the system; 2) attack by the system; and 3) attack through the system [8].,"['three', 'mode', 'malici', 'attack', 'power', 'infrastructur', 'follow', 'attack', 'upon', 'system', 'attack', 'system', 'attack', 'system']",set(),N
28,Physical security of the power infrastructure has been recog- nized by the power community as an important issue.,"['physic', 'secur', 'power', 'infrastructur', 'nize', 'power', 'commun', 'import', 'issu']",{'secur'},Y
29,One example precaution was to prevent vandalism on unmanned substations [9].,"['one', 'exampl', 'precaut', 'prevent', 'vandal', 'unman', 'substat']",set(),N
30,"Due to the growing concern over the potential sabotage, the focus of physical security has been broadened to incorporate critical substations that may result in cascading effects, leading to a wide-area blackout [10].","['due', 'grow', 'concern', 'potenti', 'sabotag', 'focu', 'physic', 'secur', 'broaden', 'incorpor', 'critic', 'substat', 'may', 'result', 'cascad', 'effect', 'lead', 'blackout']",{'secur'},Y
31,The application of sensors to monitor the structural health of transmission lines is also an important way to reduce the power system vulnerability [11].,"['applic', 'sensor', 'monitor', 'structur', 'health', 'transmiss', 'line', 'also', 'import', 'way', 'reduc', 'power', 'system', 'vulner']",set(),N
32,Electronic security is as important as physical security due to the potential impact that can be made through operations of critical cyberassets.,"['electron', 'secur', 'import', 'physic', 'secur', 'due', 'potenti', 'impact', 'made', 'oper', 'critic', 'cyberasset']",{'secur'},Y
33,Electronic security here refers to the security of critical cyberassets of the power infrastructure.,"['electron', 'secur', 'refer', 'secur', 'critic', 'cyberasset', 'power', 'infrastructur']",{'secur'},Y
34,It includes the supervisory control and data acquisition (SCADA) systems that are widely used in the industry for monitoring and control of the power grid.,"['includ', 'supervisori', 'control', 'data', 'acquisit', 'scada', 'system', 'wide', 'use', 'industri', 'monitor', 'control', 'power', 'grid']","{'industri', 'control', 'includ'}",Y
35,"These systems include computer and communication devices installed in power plants, substa- tions, energy control centers, company headquarters, regional operating of?ces, and large load sites.","['system', 'includ', 'comput', 'commun', 'devic', 'instal', 'power', 'plant', 'tion', 'energi', 'control', 'center', 'compani', 'headquart', 'region', 'oper', 'ce', 'larg', 'load', 'site']","{'control', 'includ', 'devic'}",Y
36,Cybersecurity of crit- ical infrastructures systems encompasses three major control systems.,"['cybersecur', 'ical', 'infrastructur', 'system', 'encompass', 'three', 'major', 'control', 'system']","{'control', 'cybersecur'}",Y
37,SCADA systems are the central nerve system of a wide-area control network that constantly gathers the latest status from remote units [1].,"['scada', 'system', 'central', 'nerv', 'system', 'control', 'network', 'constantli', 'gather', 'latest', 'statu', 'remot', 'unit']","{'control', 'network'}",Y
38,A process control system (PCS) is implemented with a closed-loop control for an ongoing task.,"['process', 'control', 'system', 'pc', 'implement', 'control', 'ongo', 'task']","{'implement', 'control'}",Y
39,A distributed control system (DCS) is the complex combinations of SCADA and PCS.,"['distribut', 'control', 'system', 'dc', 'complex', 'combin', 'scada', 'pc']",{'control'},Y
40,"Fundamental materials about SCADA are further detailed in [3], [12], and [13].","['fundament', 'materi', 'scada', 'detail']",set(),N
41,A variety of communica- tion systems are deployed on the power grid for the purpose of monitoring and control.,"['varieti', 'tion', 'system', 'deploy', 'power', 'grid', 'purpos', 'monitor', 'control']",{'control'},Y
42,"The analog and status data acquired by SCADA are utilized by an energy management system (EMS) in the control center to perform a wide range of system func- tions, including real-time control.","['analog', 'statu', 'data', 'acquir', 'scada', 'util', 'energi', 'manag', 'system', 'em', 'control', 'center', 'perform', 'wide', 'rang', 'system', 'tion', 'includ', 'control']","{'manag', 'control', 'includ'}",Y
43,The communication system for wide-area protection and control of a power system can be weakened due to component failures or communication delays [14].,"['commun', 'system', 'protect', 'control', 'power', 'system', 'weaken', 'due', 'compon', 'failur', 'commun', 'delay']",{'control'},Y
44,"Failure of an important communication channel in the operational environment could result in an inability to control or operate important facilities, leading to possible power outages.","['failur', 'import', 'commun', 'channel', 'oper', 'environ', 'could', 'result', 'inabl', 'control', 'oper', 'import', 'facil', 'lead', 'possibl', 'power', 'outag']",{'control'},Y
45,"Other than the communication between the control center and substations that has long been established, the inter- control center communication through the Internet serves as the data exchange mechanism between interconnected networks [15].","['commun', 'control', 'center', 'substat', 'long', 'establish', 'control', 'center', 'commun', 'internet', 'serv', 'data', 'exchang', 'mechan', 'interconnect', 'network']","{'internet', 'control', 'network'}",Y
46,"Analyzing the events at the interfaces between power and  1083-4427/$26.00 © 2010 IEEE  854  IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICSóPART A: SYSTEMS AND HUMANS, VOL.","['analyz', 'event', 'interfac', 'power', 'ieee', 'ieee', 'transact', 'system', 'man', 'system', 'human', 'vol']",set(),N
47,"40, NO.",[],set(),N
48,"4, JULY 2010  telecommunication systems is an important way to understand their dependences [16].","['juli', 'telecommun', 'system', 'import', 'way', 'understand', 'depend']",set(),N
49,The use of standard protocols on critical systems leads to a source of vulnerability [17].,"['use', 'standard', 'protocol', 'critic', 'system', 'lead', 'sourc', 'vulner']",{'standard'},Y
50,"Due to technological changes over the last decade, protocols have been re?ned to become more ?exible in their interoper- ability and maintainability, speci?cally in an open architecture with high-speed communications [12], [18].","['due', 'technolog', 'chang', 'last', 'decad', 'protocol', 'ned', 'becom', 'exibl', 'abil', 'maintain', 'speci', 'calli', 'open', 'architectur', 'commun']",{'technolog'},Y
51,"The evolution of SCADA systems has also raised concerns about cyber-related vulnerabilities [2], [13].","['evolut', 'scada', 'system', 'also', 'rais', 'concern', 'vulner']",set(),N
52,"In addition, interdependences among computers, communication, and power infrastructures have in- creased the risks due to complexity of the integrated infrastruc- tures [19].","['addit', 'interdepend', 'among', 'comput', 'commun', 'power', 'infrastructur', 'creas', 'risk', 'due', 'complex', 'integr', 'ture']",set(),N
53,"Although the complex infrastructure provides great capabilities for operation, control, business, and analysis, it also increases security risks due to cyber-related vulnerabilities.","['although', 'complex', 'infrastructur', 'provid', 'great', 'capabl', 'oper', 'control', 'busi', 'analysi', 'also', 'increas', 'secur', 'risk', 'due', 'vulner']","{'secur', 'control'}",Y
54,Technological advances can help to reduce the de?ciencies of current power and communication systems [20].,"['technolog', 'advanc', 'help', 'reduc', 'de', 'cienci', 'current', 'power', 'commun', 'system']",{'technolog'},Y
55,"However, tech- nological complexity can also lead to security breaches that are prone to electronic intrusions.","['howev', 'nolog', 'complex', 'also', 'lead', 'secur', 'breach', 'prone', 'electron', 'intrus']",{'secur'},Y
56,"A successful intrusion into the control networks can lead to undesirable switching operations executed by attackers, resulting in widespread power outages.","['success', 'intrus', 'control', 'network', 'lead', 'undesir', 'switch', 'oper', 'execut', 'attack', 'result', 'widespread', 'power', 'outag']","{'control', 'network'}",Y
57,"Another potential scenarios are intrusion into one or more substations and alteration of the protective relay settings, which could result in undesirable tripping of circuit breakers.","['anoth', 'potenti', 'scenario', 'intrus', 'one', 'substat', 'alter', 'protect', 'relay', 'set', 'could', 'result', 'undesir', 'trip', 'circuit', 'breaker']",set(),N
58,"The vulnerabilities of a power system include three main compo- nents, i.e., computer, communication, and power system [21]ñ [24].","['vulner', 'power', 'system', 'includ', 'three', 'main', 'nent', 'comput', 'commun', 'power', 'system']",{'includ'},Y
59,"Attacks can be targeted at speci?c systems, subsystems, and multiple locations simultaneously from a remote location.","['attack', 'target', 'speci', 'c', 'system', 'subsystem', 'multipl', 'locat', 'simultan', 'remot', 'locat']",set(),N
60,"Entities in the control center, substation automation system (SAS) [25], [26], distribution management system, Independent System Operator (ISO), and power plant process control system [27]ñ[31] are interlinked.","['entiti', 'control', 'center', 'substat', 'autom', 'system', 'sa', 'distribut', 'manag', 'system', 'independ', 'system', 'oper', 'iso', 'power', 'plant', 'process', 'control', 'system', 'interlink']","{'manag', 'control'}",Y
61,Interdependence plays an essential role in vulnerability assessment.,"['interdepend', 'play', 'essenti', 'role', 'vulner', 'assess']",set(),N
62,"An enhanced authentication process on the critical cyberassets, such as access to certain control functions, should be validated through the biometric features of an individual [32].","['enhanc', 'authent', 'process', 'critic', 'cyberasset', 'access', 'certain', 'control', 'function', 'valid', 'biometr', 'featur', 'individu']","{'control', 'access'}",Y
63,Security awareness for emerging technologies is critical to prevent cyberattacks.,"['secur', 'awar', 'emerg', 'technolog', 'critic', 'prevent', 'cyberattack']","{'secur', 'technolog'}",Y
64,"Information security in an open system architecture, with respect to potential threats and goals (in terms of con?dentiality, integrity, availability, and accountability), is a challenging task [33].","['inform', 'secur', 'open', 'system', 'architectur', 'respect', 'potenti', 'threat', 'goal', 'term', 'con', 'dential', 'integr', 'avail', 'account', 'challeng', 'task']","{'secur', 'inform'}",Y
65,ISO/IEC 17779 recommends a list of important controls on the information security management system [34].,"['recommend', 'list', 'import', 'control', 'inform', 'secur', 'manag', 'system']","{'secur', 'manag', 'control', 'inform'}",Y
66,"A virtual enterprise is one way to promote a collaborative group of managing existing network enterprises by coordinating, controlling, and communicating remotely to the networks with different roles and user types [35].","['virtual', 'enterpris', 'one', 'way', 'promot', 'collabor', 'group', 'manag', 'exist', 'network', 'enterpris', 'coordin', 'control', 'commun', 'remot', 'network', 'differ', 'role', 'user', 'type']","{'control', 'manag', 'group', 'network'}",Y
67,Govern- ments have responded by increasing national readiness as the connectivity of control networks increases [4].,"['ment', 'respond', 'increas', 'nation', 'readi', 'connect', 'control', 'network', 'increas']","{'control', 'network'}",Y
68,"Vulnerability assessment for process control systems has been recognized as an important task that has an impact on power system operation [36], [37].","['vulner', 'assess', 'process', 'control', 'system', 'recogn', 'import', 'task', 'impact', 'power', 'system', 'oper']",{'control'},Y
69,"The International Electrotechnical Com- mission Technical Council (IEC TC 57), i.e., power system management and associated information exchange, has ad- vanced the standard communication protocol security in IEC62351 with stronger encryption and authentication mecha- nisms [38].","['intern', 'electrotechn', 'mission', 'technic', 'council', 'iec', 'tc', 'power', 'system', 'manag', 'associ', 'inform', 'exchang', 'vanc', 'standard', 'commun', 'protocol', 'secur', 'stronger', 'encrypt', 'authent', 'nism']","{'inform', 'standard', 'manag', 'intern', 'secur'}",Y
70,Such mechanisms allow veri?cation and evaluation of potential threats.,"['mechan', 'allow', 'veri', 'cation', 'evalu', 'potenti', 'threat']",set(),N
71,"Aside from the de?ciencies of the commu- nication architecture on availability, scalability, and quality of service in real time, a new approach has been envisioned for strengthening power grid in terms of security, ef?ciency, and reliability [39], [40].","['asid', 'de', 'cienci', 'nicat', 'architectur', 'avail', 'scalabl', 'qualiti', 'servic', 'real', 'time', 'new', 'approach', 'envis', 'strengthen', 'power', 'grid', 'term', 'secur', 'ef', 'cienci', 'reliabl']",{'secur'},Y
72,The observation of computer intruder activities by the U.S. Computer Emergency Readiness Team (US-CERT) has been undertaken since the late 1980s.,"['observ', 'comput', 'intrud', 'activ', 'comput', 'emerg', 'readi', 'team', 'undertaken', 'sinc', 'late']",set(),N
73,The sophistication of attack trends has advanced from automated to highly ?rewall- permeable and distributed fashions [41].,"['sophist', 'attack', 'trend', 'advanc', 'autom', 'highli', 'permeabl', 'distribut', 'fashion']",set(),N
74,Increasingly sophis- ticated tools help to penetrate existing network connections [42].,"['increasingli', 'ticat', 'tool', 'help', 'penetr', 'exist', 'network', 'connect']",{'network'},Y
75,Reference [7] identi?es the latest cybersecurity technolo- gies for protection.,"['refer', 'identi', 'es', 'latest', 'cybersecur', 'gie', 'protect']",{'cybersecur'},Y
76,The ?ndings in a 2004 report from the Government Accountability Of?ce (GAO) [3] highlight the extensive plans of sabotage to disrupt the U.S. power grid.,"['nding', 'report', 'govern', 'account', 'ce', 'gao', 'highlight', 'extens', 'plan', 'sabotag', 'disrupt', 'power', 'grid']",set(),N
77,A survey conducted by electric utilities indicates the growing concern over the attacks on power grid through communi- cation security breaches.,"['survey', 'conduct', 'electr', 'util', 'indic', 'grow', 'concern', 'attack', 'power', 'grid', 'cation', 'secur', 'breach']",{'secur'},Y
78,Intrusion into the control networks remains the highest concern based on the survey [43].,"['intrus', 'control', 'network', 'remain', 'highest', 'concern', 'base', 'survey']","{'control', 'network'}",Y
79,Recent computer crime and security surveys from the Computer Se- curity Institute (CSI) indicate that the system penetration by outsiders may cause high ?nancial losses [44].,"['recent', 'comput', 'crime', 'secur', 'survey', 'comput', 'curiti', 'institut', 'csi', 'indic', 'system', 'penetr', 'outsid', 'may', 'caus', 'high', 'nancial', 'loss']",{'secur'},Y
80,"Speci?cally, it is the third highest ?nancial loss among other attack types based on the 2007 survey.","['speci', 'calli', 'third', 'highest', 'nancial', 'loss', 'among', 'attack', 'type', 'base', 'survey']",set(),N
81,"Due to the fast-growing intrusion attempts through cyberspace, the analysis of direct and indirect cybervulnerabilities and cyberthreats is important.","['due', 'intrus', 'attempt', 'cyberspac', 'analysi', 'direct', 'indirect', 'cybervulner', 'cyberthreat', 'import']",set(),N
82,The analysis identi?es the possible consequences and measures to prevent them from attacks [45].,"['analysi', 'identi', 'es', 'possibl', 'consequ', 'measur', 'prevent', 'attack']",{'measur'},Y
83,Awareness programs about exploited vulnerabilities are set up to improve the control system security [46].,"['awar', 'program', 'exploit', 'vulner', 'set', 'improv', 'control', 'system', 'secur']","{'secur', 'control'}",Y
84,"Initiatives addressing the critical infrastructures have been established by US-CERT, i.e., national SCADA test beds [47], [48].","['initi', 'address', 'critic', 'infrastructur', 'establish', 'nation', 'scada', 'test', 'bed']",set(),N
85,Traditional IT solutions may not be well positioned to control systems in which CERT and national test beds are set up for strengthening the defense for the domain-speci?c purpose [49].,"['tradit', 'solut', 'may', 'well', 'posit', 'control', 'system', 'cert', 'nation', 'test', 'bed', 'set', 'strengthen', 'defens', 'c', 'purpos']",{'control'},Y
86,The initial intention of the American Gas Association 12 Task Group is to establish the protection guidelines for gas SCADA systems [50].,"['initi', 'intent', 'american', 'ga', 'associ', 'task', 'group', 'establish', 'protect', 'guidelin', 'ga', 'scada', 'system']",{'group'},Y
87,The guidelines have been applied to water and electricity SCADA systems due to technical and operational similarities.,"['guidelin', 'appli', 'water', 'electr', 'scada', 'system', 'due', 'technic', 'oper', 'similar']",set(),N
88,"The compliance set by North American Electric Reliability Corporation (NERC) Critical Infrastructure Protection has established permanent policies for utilities in the U.S. that are helpful for the reduction of risks from a compromise of critical cyberassets [51], [52].","['complianc', 'set', 'north', 'american', 'electr', 'reliabl', 'corpor', 'nerc', 'critic', 'infrastructur', 'protect', 'establish', 'perman', 'polici', 'util', 'help', 'reduct', 'risk', 'compromis', 'critic', 'cyberasset']",set(),N
89,A comparison between compliance standards of power entity and other similar SCADA systems has been reported in [6] and [53].,"['comparison', 'complianc', 'standard', 'power', 'entiti', 'similar', 'scada', 'system', 'report']",{'standard'},Y
90,"Research on information security has stressed on modeling dependability [54] and risk assessment framework [55], [56].","['research', 'inform', 'secur', 'stress', 'model', 'depend', 'risk', 'assess', 'framework']","{'secur', 'inform'}",Y
91,A new paradigm for classi?cation of the security level using declustering in database is introduced [57].,"['new', 'paradigm', 'classi', 'cation', 'secur', 'level', 'use', 'declust', 'databas', 'introduc']",{'secur'},Y
92,Correlation is also a technique to identify intrusion into a network [58].,"['correl', 'also', 'techniqu', 'identifi', 'intrus', 'network']",{'network'},Y
93,A game approach to modeling of response strategies for attackers and administrators is used as a technique to enhance network security [59].,"['game', 'approach', 'model', 'respons', 'strategi', 'attack', 'administr', 'use', 'techniqu', 'enhanc', 'network', 'secur']","{'secur', 'network'}",Y
94,II.,['ii'],set(),N
95,"SCADA SECURITY FRAMEWORK  A strategic roadmap framework has been developed to ad- dress the security issue in a proactive manner [1], [60], [61].","['scada', 'secur', 'framework', 'strateg', 'roadmap', 'framework', 'develop', 'dress', 'secur', 'issu', 'proactiv', 'manner']","{'secur', 'develop'}",Y
96,"To assess the information security of control systems, it is useful to quantify the resiliency of a power grid in terms of threats and the impact that they can make.","['assess', 'inform', 'secur', 'control', 'system', 'use', 'quantifi', 'resili', 'power', 'grid', 'term', 'threat', 'impact', 'make']","{'secur', 'control', 'inform'}",Y
97,"Interdependence modeling with computer and communication infrastructures is useful for determination of the system bottleneck [62], [63].","['interdepend', 'model', 'comput', 'commun', 'infrastructur', 'use', 'determin', 'system', 'bottleneck']",set(),N
98,Security system engineering deals with adversary models that describe attack objectives and relevant impact/mission based on hypotheses [64].,"['secur', 'system', 'engin', 'deal', 'adversari', 'model', 'describ', 'attack', 'object', 'relev', 'base', 'hypothes']",{'secur'},Y
99,The key is to identify the system properties.,"['key', 'identifi', 'system', 'properti']",set(),N
100,TEN et al.,"['ten', 'et', 'al']",set(),N
