No.,Sentence,StemWords,MatchWords,Use
0,"                        10 Basic Cybersecurity Measures   Best Practices to Reduce Exploitable      Weaknesses and Attacks      June 2015                                               Developed in partnership with the U.S. Department of Homeland Security Industrial Control Systems  Cyber Emergency Response Team (ICS-CERT), the FBI, and the Information Technology ISAC.","['basic', 'cybersecur', 'measur', 'best', 'practic', 'reduc', 'exploit', 'weak', 'attack', 'june', 'develop', 'partnership', 'depart', 'homeland', 'secur', 'industri', 'control', 'system', 'cyber', 'emerg', 'respons', 'team', 'fbi', 'inform', 'technolog', 'isac']","{'industri', 'control', 'inform', 'technolog', 'practic', 'measur', 'develop', 'cyber', 'secur', 'cybersecur'}",Y
1,WaterISAC also acknowledges the Multi-State ISAC for its contributions to this document.,"['waterisac', 'also', 'acknowledg', 'isac', 'contribut', 'document']",{'waterisac'},Y
2,"© WaterISAC 2015   10 Basic Cybersecurity Measures   i   About WaterISAC   The Water Information Sharing and Analysis Center, established in 2002 by the water and wastewater  industry, is the designated communications and operations arm of the United States water and wastewater  sector.","['waterisac', 'basic', 'cybersecur', 'measur', 'waterisac', 'water', 'inform', 'share', 'analysi', 'center', 'establish', 'water', 'wastewat', 'industri', 'design', 'commun', 'oper', 'arm', 'unit', 'state', 'water', 'wastewat', 'sector']","{'industri', 'inform', 'waterisac', 'measur', 'cybersecur'}",Y
3,"With an all-hazards focus, WaterISAC provides its members with threat alerts and analysis as well as  best practices and training on reducing risk, mitigating vulnerabilities, improving resiliency, and recovering  from natural and manmade emergencies.","['focu', 'waterisac', 'provid', 'member', 'threat', 'alert', 'analysi', 'well', 'best', 'practic', 'train', 'reduc', 'risk', 'mitig', 'vulner', 'improv', 'resili', 'recov', 'natur', 'manmad', 'emerg']","{'practic', 'waterisac'}",Y
4,"WaterISAC members are in the U.S., Canada, and Australia.","['waterisac', 'member', 'canada', 'australia']",{'waterisac'},Y
5,"They include water and wastewater utilities;  federal, state, and local government agencies involved in security, law enforcement, intelligence analysis,  emergency response, and public health; and engineering and consulting firms.","['includ', 'water', 'wastewat', 'util', 'feder', 'state', 'local', 'govern', 'agenc', 'involv', 'secur', 'law', 'enforc', 'intellig', 'analysi', 'emerg', 'respons', 'public', 'health', 'engin', 'consult', 'firm']","{'secur', 'includ'}",Y
6,"WaterISAC members have access to the world’s largest and richest source of information and tools for  strengthening water and wastewater utility security, resilience, and emergency management.","['waterisac', 'member', 'access', 'world', 'largest', 'richest', 'sourc', 'inform', 'tool', 'strengthen', 'water', 'wastewat', 'util', 'secur', 'resili', 'emerg', 'manag']","{'inform', 'waterisac', 'manag', 'secur', 'access'}",Y
7,"For more information about WaterISAC, visit https://www.waterisac.org or email service@waterisac.org.","['inform', 'waterisac', 'visit', 'http', 'email', 'servic']","{'inform', 'waterisac'}",Y
8,"If your organization has experienced a cybersecurity breach or suspects a breach has occurred, please contact  WaterISAC and ICS-CERT:   WaterISAC  Email: analyst@waterisac.org  Call: 866-H20-ISAC  Online Incident Report form: https://www.waterisac.org/report-incident   ICS-CERT  Email: ics-cert@hq.dhs.gov   Call: 877-776-7585                           WaterISAC     June 2015   10 Basic Cybersecurity Measures   ii   Introduction   In partnership with the U.S. Department of Homeland Security Industrial Control Systems Cyber  Emergency Response Team (ICS-CERT), the FBI, and the Information Technology ISAC, WaterISAC has  developed a list of 10 basic cybersecurity recommendations water and wastewater utilities can use to  reduce exploitable weaknesses and defend against avoidable data breaches and cyber attacks.","['organ', 'experienc', 'cybersecur', 'breach', 'suspect', 'breach', 'occur', 'pleas', 'contact', 'waterisac', 'waterisac', 'email', 'analyst', 'call', 'onlin', 'incid', 'report', 'form', 'http', 'email', 'call', 'waterisac', 'june', 'basic', 'cybersecur', 'measur', 'ii', 'introduct', 'partnership', 'depart', 'homeland', 'secur', 'industri', 'control', 'system', 'cyber', 'emerg', 'respons', 'team', 'fbi', 'inform', 'technolog', 'isac', 'waterisac', 'develop', 'list', 'basic', 'cybersecur', 'recommend', 'water', 'wastewat', 'util', 'use', 'reduc', 'exploit', 'weak', 'defend', 'avoid', 'data', 'breach', 'cyber', 'attack']","{'industri', 'organ', 'waterisac', 'control', 'inform', 'technolog', 'measur', 'cyber', 'develop', 'secur', 'cybersecur'}",Y
9,Each  recommendation is accompanied by links to corresponding technical resources.,"['recommend', 'accompani', 'link', 'correspond', 'technic', 'resourc']",set(),N
10,This document is an  updated version of the 10 Basic Cybersecurity Measures to Reduce Exploitable Weaknesses and Attacks  guide that WaterISAC published in August 2012.,"['document', 'updat', 'version', 'basic', 'cybersecur', 'measur', 'reduc', 'exploit', 'weak', 'attack', 'guid', 'waterisac', 'publish', 'august']","{'measur', 'waterisac', 'cybersecur'}",Y
11,"In reviewing its incident reports for 2014, ICS-CERT noted that implementation of the first three  recommendations likely would have detected the issues, prevented the vulnerabilities, and averted the  resulting impacts related to those incidents.","['review', 'incid', 'report', 'note', 'implement', 'first', 'three', 'recommend', 'like', 'would', 'detect', 'issu', 'prevent', 'vulner', 'avert', 'result', 'impact', 'relat', 'incid']",{'implement'},Y
12,"Although risks remain and threat actors will continue to  change their capabilities and methods, ICS-CERT advises that the first three recommendations be  implemented as soon as practical.","['although', 'risk', 'remain', 'threat', 'actor', 'continu', 'chang', 'capabl', 'method', 'advis', 'first', 'three', 'recommend', 'implement', 'soon', 'practic']","{'practic', 'implement'}",Y
